Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
08:27,"MISS JUMPER by FITZGERALD,JACKSON",,,,,,,"MISS JUMPER by FITZGERALD,JACKSON",1
08:27,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:27,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
08:27,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",1
08:23,"GOOD JUMPER by PALMER,BRADY",21 (+6),,15,,COV 21-15 (-6),,"GOOD JUMPER by PALMER,BRADY",1
07:58,,21 (+4),,17,"GOOD JUMPER by AVALIANI,LUKA",Sewan 21-17 (-4),,"GOOD JUMPER by AVALIANI,LUKA",1
--,,,,,"ASSIST  by SMITH,GRAHAM",,,"ASSIST  by SMITH,GRAHAM",1
07:38,"MISS JUMPER by IGBANU,PROMISE",,,,,,,"MISS JUMPER by IGBANU,PROMISE",1
--,"REBOUND OFF by PEARLMAN,LOGAN",,,,,,,"REBOUND OFF by PEARLMAN,LOGAN",1
07:30,"GOOD JUMPER by PALMER,BRADY",23 (+6),,17,,COV 23-17 (-6),,"GOOD JUMPER by PALMER,BRADY",1
07:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:27,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
07:27,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",1
07:27,"SUB OUT by FITZGERALD,JACKSON",,,,,,,"SUB OUT by FITZGERALD,JACKSON",1
07:27,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",1
07:05,,23 (+3),,20,"GOOD 3PTR by KAHL,COLIN",Sewan 23-20 (-3),,"GOOD 3PTR by KAHL,COLIN",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
06:48,"MISS JUMPER by PALMER,BRADY",,,,,,,"MISS JUMPER by PALMER,BRADY",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
06:40,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
06:21,"GOOD JUMPER by IGBANU,PROMISE",25 (+5),,20,,COV 25-20 (-5),,"GOOD JUMPER by IGBANU,PROMISE",1
06:02,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
05:54,"TURNOVER  by BARNETTE,CHRIS",,,,,,,"TURNOVER  by BARNETTE,CHRIS",1
05:54,,,,,"SUB OUT by MITCHELL,JIMMY",,,"SUB OUT by MITCHELL,JIMMY",1
05:54,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
05:54,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
05:54,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",1
05:54,"SUB OUT by PALMER,BRADY",,,,,,,"SUB OUT by PALMER,BRADY",1
05:54,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
05:54,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
05:54,"SUB OUT by PEARLMAN,LOGAN",,,,,,,"SUB OUT by PEARLMAN,LOGAN",1
05:54,"SUB IN by FITZGERALD,JACKSON",,,,,,,"SUB IN by FITZGERALD,JACKSON",1
05:54,"SUB IN by GERNATT,JONATHAN",,,,,,,"SUB IN by GERNATT,JONATHAN",1
05:54,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
05:54,"SUB IN by JONES,MYLES",,,,,,,"SUB IN by JONES,MYLES",1
05:50,,25 (+3),,22,"GOOD JUMPER by AVALIANI,LUKA(fastbreak)",Sewan 25-22 (-3),,"GOOD JUMPER by AVALIANI,LUKA(fastbreak)",1
05:36,"MISS JUMPER by KINARD,JESSE",,,,,,,"MISS JUMPER by KINARD,JESSE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:34,"FOUL  by GERNATT,JONATHAN",,,,,,,"FOUL  by GERNATT,JONATHAN",1
05:34,"SUB OUT by KINARD,JESSE",,,,,,,"SUB OUT by KINARD,JESSE",1
05:34,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",1
05:05,,25,,25,"GOOD 3PTR by CORRIGAN,TRE",Sewan 25-25 (0),,"GOOD 3PTR by CORRIGAN,TRE",1
04:53,"GOOD JUMPER by BARNETTE,CHRIS",27 (+2),,25,,COV 27-25 (-2),,"GOOD JUMPER by BARNETTE,CHRIS",1
04:32,,27,,27,"GOOD JUMPER by BOULDIN,BLAKE",Sewan 27-27 (0),,"GOOD JUMPER by BOULDIN,BLAKE",1
04:20,"MISS JUMPER by JONES,MYLES",,,,,,,"MISS JUMPER by JONES,MYLES",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
04:04,,,,,"MISS JUMPER by CORRIGAN,TRE",,,"MISS JUMPER by CORRIGAN,TRE",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
03:53,,,,,"FOUL  by BOULDIN,BLAKE",,,"FOUL  by BOULDIN,BLAKE",1
03:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:53,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
03:53,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
03:49,"MISS JUMPER by CRUMLY,WILL",,,,,,,"MISS JUMPER by CRUMLY,WILL",1
03:49,,,,,"BLOCK  by PERUSEK,COLE",,,"BLOCK  by PERUSEK,COLE",1
--,,,,,"REBOUND DEF by PERUSEK,COLE",,,"REBOUND DEF by PERUSEK,COLE",1
03:37,,,,,"MISS JUMPER by BOULDIN,BLAKE",,,"MISS JUMPER by BOULDIN,BLAKE",1
--,"REBOUND DEF by JONES,MYLES",,,,,,,"REBOUND DEF by JONES,MYLES",1
03:28,"GOOD JUMPER by CRUMLY,WILL",29 (+2),,27,,COV 29-27 (-2),,"GOOD JUMPER by CRUMLY,WILL",1
--,"ASSIST  by JONES,MYLES",,,,,,,"ASSIST  by JONES,MYLES",1
03:23,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
03:23,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
02:58,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",1
--,"REBOUND DEF by FITZGERALD,JACKSON",,,,,,,"REBOUND DEF by FITZGERALD,JACKSON",1
02:52,"SUB OUT by FITZGERALD,JACKSON",,,,,,,"SUB OUT by FITZGERALD,JACKSON",1
