Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
03:38,,25,,29 (+4),"GOOD JUMPER by REARDON,NOAH(in the paint)",PUM 25-29 (-4),,"GOOD JUMPER by REARDON,NOAH(in the paint)",1
03:21,,,,,"FOUL  by CLEMENTS-OWENS,ORRY",,,"FOUL  by CLEMENTS-OWENS,ORRY",1
03:21,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
03:21,"GOOD FT by CORRIGAN,TRE",26,,29 (+3),,SEWANEE 26-29 (-3),,"GOOD FT by CORRIGAN,TRE",1
03:21,"GOOD FT by CORRIGAN,TRE",27,,29 (+2),,SEWANEE 27-29 (-2),,"GOOD FT by CORRIGAN,TRE",1
03:21,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
03:21,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",1
03:03,,,,,"MISS LAYUP by FOOTE,JORDAN",,,"MISS LAYUP by FOOTE,JORDAN",1
03:03,"BLOCK  by KAHL,COLIN",,,,,,,"BLOCK  by KAHL,COLIN",1
--,"REBOUND DEF by PERUSEK,COLE",,,,,,,"REBOUND DEF by PERUSEK,COLE",1
02:48,"MISS JUMPER by CRUMP,JOHN",,,,,,,"MISS JUMPER by CRUMP,JOHN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:48,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",1
02:48,,27,,30 (+3),"GOOD FT by FOOTE,JORDAN",PUM 27-30 (-3),,"GOOD FT by FOOTE,JORDAN",1
02:48,,27,,31 (+4),"GOOD FT by FOOTE,JORDAN",PUM 27-31 (-4),,"GOOD FT by FOOTE,JORDAN",1
02:48,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
02:48,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
02:29,"GOOD JUMPER by KAHL,COLIN(in the paint)",29,,31 (+2),,SEWANEE 29-31 (-2),,"GOOD JUMPER by KAHL,COLIN(in the paint)",1
02:01,,,,,"MISS LAYUP by FOOTE,JORDAN",,,"MISS LAYUP by FOOTE,JORDAN",1
