Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
03:54,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",1
03:54,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
03:46,,41 (+14),,27,"GOOD LAYUP by COTTER,DOUGLAS(in the paint)",BCM 41-27 (+14),,"GOOD LAYUP by COTTER,DOUGLAS(in the paint)",1
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1
03:39,"GOOD 3PTR by THOMAS,LARRY",44 (+17),,27,,BSC-M 44-27 (+17),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
03:22,,44 (+15),,29,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 44-29 (+15),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
03:04,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",1
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1
02:46,,44 (+12),,32,"GOOD 3PTR by SMOAK,HUNTER",BCM 44-32 (+12),,"GOOD 3PTR by SMOAK,HUNTER",1
02:29,,,,,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",1
02:29,"GOOD FT by FREEMAN,SCHYLAR",45 (+13),,32,,BSC-M 45-32 (+13),,"GOOD FT by FREEMAN,SCHYLAR",1
02:29,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
02:29,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
02:29,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
02:29,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
02:29,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
02:29,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
02:15,,,,,"MISS LAYUP by COTTER,DOUGLAS",,,"MISS LAYUP by COTTER,DOUGLAS",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
02:07,,,,,"FOUL  by COTTER,DOUGLAS",,,"FOUL  by COTTER,DOUGLAS",1
02:07,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:07,"GOOD FT by THOM,IAN",46 (+14),,32,,BSC-M 46-32 (+14),,"GOOD FT by THOM,IAN",1
02:07,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
02:07,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
02:07,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
02:07,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
01:10,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
