Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
01:05,"GOOD 3PTR by NIKOLOVSKI,DREW",32,,43 (+11),,HENDRIX 32-43 (+11),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,"ASSIST  by VANCE,LUKE",,,,,,,"ASSIST  by VANCE,LUKE",1
00:42,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
00:42,,32,,44 (+12),"GOOD FT by MCGRAIL,PATRICK",RHODES 32-44 (+12),,"GOOD FT by MCGRAIL,PATRICK",1
00:42,,32,,45 (+13),"GOOD FT by MCGRAIL,PATRICK",RHODES 32-45 (+13),,"GOOD FT by MCGRAIL,PATRICK",1
00:30,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
00:08,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
00:01,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
19:44,"GOOD LAYUP by PRIMM,COLTON(in the paint)",34,,45 (+11),,HENDRIX 34-45 (+11),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",2
19:24,,34,,47 (+13),"GOOD JUMPER by COLLINS,LUKE(in the paint)",RHODES 34-47 (+13),,"GOOD JUMPER by COLLINS,LUKE(in the paint)",2
