Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
01:44,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
01:25,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
01:22,,,,,"FOUL  by MOLINET,CHRISTIAN",,,"FOUL  by MOLINET,CHRISTIAN",1
01:22,"MISS FT by GALLAGHER,MICHAEL",,,,,,,"MISS FT by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by HAMILTON,PRICE",,,"REBOUND DEF by HAMILTON,PRICE",1
01:22,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
01:22,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
01:00,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
00:43,"GOOD JUMPER by GALOW,ANDREW",33 (+15),,18,,RCMBB13 33-18 (+15),,"GOOD JUMPER by GALOW,ANDREW",1
00:05,,,,,"MISS 3PTR by MOLINET,CHRISTIAN",,,"MISS 3PTR by MOLINET,CHRISTIAN",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
19:43,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",35 (+17),,18,,RCMBB13 35-18 (+17),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",2
--,"ASSIST  by HARTWELL,THEO",,,,,,,"ASSIST  by HARTWELL,THEO",2
19:35,,35 (+15),,20,"GOOD JUMPER by KINNEY,JORDAN",OUM 35-20 (+15),,"GOOD JUMPER by KINNEY,JORDAN",2
--,,,,,"ASSIST  by MOLINET,CHRISTIAN",,,"ASSIST  by MOLINET,CHRISTIAN",2
19:25,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",2
19:24,,,,,"STEAL  by MOLINET,CHRISTIAN",,,"STEAL  by MOLINET,CHRISTIAN",2
19:16,,,,,"TURNOVER  by MOLINET,CHRISTIAN",,,"TURNOVER  by MOLINET,CHRISTIAN",2
18:59,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",2
18:57,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",2
18:40,"GOOD 3PTR by MCGRAIL,PATRICK",38 (+18),,20,,RCMBB13 38-20 (+18),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,"ASSIST  by HARTWELL,THEO",,,,,,,"ASSIST  by HARTWELL,THEO",2
18:27,,,,,"TURNOVER  by KINNEY,JORDAN",,,"TURNOVER  by KINNEY,JORDAN",2
18:03,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
18:03,,,,,"BLOCK  by PURDY,SAM",,,"BLOCK  by PURDY,SAM",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
17:58,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",2
17:38,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by PURDY,SAM",,,"REBOUND DEF by PURDY,SAM",2
17:30,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",2
17:29,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",2
17:06,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",2
16:55,,38 (+15),,23,"GOOD 3PTR by PURDY,SAM",OUM 38-23 (+15),,"GOOD 3PTR by PURDY,SAM",2
--,,,,,"ASSIST  by MOLINET,CHRISTIAN",,,"ASSIST  by MOLINET,CHRISTIAN",2
16:38,"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",40 (+17),,23,,RCMBB13 40-23 (+17),,"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",2
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",2
16:20,,40 (+14),,26,"GOOD 3PTR by PURDY,SAM",OUM 40-26 (+14),,"GOOD 3PTR by PURDY,SAM",2
