Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
03:21,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
03:18,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
03:15,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
02:47,"MISS JUMPER by FITZGERALD,PAUL",,,,,,,"MISS JUMPER by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
02:22,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
02:10,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
02:10,"GOOD FT by SPENCE,BEN",23,,31 (+8),,BSC-M 23-31 (+8),,"GOOD FT by SPENCE,BEN",1
02:10,"MISS FT by SPENCE,BEN",,,,,,,"MISS FT by SPENCE,BEN",1
--,"REBOUND OFF by FITZGERALD,PAUL",,,,,,,"REBOUND OFF by FITZGERALD,PAUL",1
02:10,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
02:10,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
02:10,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
02:08,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
01:56,,23,,33 (+10),"GOOD JUMPER by STANLEY,SETH",HENDRIXM 23-33 (+10),,"GOOD JUMPER by STANLEY,SETH",1
01:44,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:36,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
01:30,"MISS LAYUP by FITZGERALD,PAUL",,,,,,,"MISS LAYUP by FITZGERALD,PAUL",1
--,"REBOUND OFF by FITZGERALD,PAUL",,,,,,,"REBOUND OFF by FITZGERALD,PAUL",1
01:27,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
01:06,"GOOD JUMPER by O'SULLIVAN,CONOR",25,,33 (+8),,BSC-M 25-33 (+8),,"GOOD JUMPER by O'SULLIVAN,CONOR",1
00:47,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
00:35,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",27,,33 (+6),,BSC-M 27-33 (+6),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
00:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:06,,27,,36 (+9),"GOOD 3PTR by EATON,JACK",HENDRIXM 27-36 (+9),,"GOOD 3PTR by EATON,JACK",1
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",1
00:00,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,"SUB IN by MORRISON,JASON",,,,,,,"SUB IN by MORRISON,JASON",2
20:00,"SUB IN by ,BRUCE BRIGHT JR",,,,,,,"SUB IN by ,BRUCE BRIGHT JR",2
19:49,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
19:49,,27,,37 (+10),"GOOD FT by STANLEY,SETH",HENDRIXM 27-37 (+10),,"GOOD FT by STANLEY,SETH",2
19:49,,27,,38 (+11),"GOOD FT by STANLEY,SETH",HENDRIXM 27-38 (+11),,"GOOD FT by STANLEY,SETH",2
19:38,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",2
19:28,,27,,40 (+13),"GOOD DUNK by STANLEY,SETH(in the paint)",HENDRIXM 27-40 (+13),,"GOOD DUNK by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
19:15,"GOOD LAYUP by BAK,CALVIN(in the paint)",29,,40 (+11),,BSC-M 29-40 (+11),,"GOOD LAYUP by BAK,CALVIN(in the paint)",2
18:50,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",2
18:49,,29,,42 (+13),"GOOD JUMPER by II,ROD CUMMINGS",HENDRIXM 29-42 (+13),,"GOOD JUMPER by II,ROD CUMMINGS",2
18:35,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",31,,42 (+11),,BSC-M 31-42 (+11),,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",2
18:21,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:46,"GOOD 3PTR by BAK,CALVIN",34,,42 (+8),,BSC-M 34-42 (+8),,"GOOD 3PTR by BAK,CALVIN",2
17:17,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
17:10,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
16:58,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",2
16:48,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
16:48,,34,,45 (+11),"GOOD 3PTR by LINK,JACOB",HENDRIXM 34-45 (+11),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
16:48,"GOOD 3PTR by FITZGERALD,PAUL",37,,45 (+8),,BSC-M 37-45 (+8),,"GOOD 3PTR by FITZGERALD,PAUL",2
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",2
16:01,,37,,47 (+10),"GOOD LAYUP by II,ROD CUMMINGS(in the paint)",HENDRIXM 37-47 (+10),,"GOOD LAYUP by II,ROD CUMMINGS(in the paint)",2
