Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SPA,Game Score,Team Indicator,Play,Period
06:16,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",1
06:16,,,,,"SUB IN by GOEING,BRANDON",,,"SUB IN by GOEING,BRANDON",1
06:16,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
06:16,,,,,"SUB OUT by TRISKO,NICK",,,"SUB OUT by TRISKO,NICK",1
06:16,,,,,"SUB OUT by ROWE,RYLAN",,,"SUB OUT by ROWE,RYLAN",1
06:16,,,,,"SUB OUT by JEANNELAS,MATT",,,"SUB OUT by JEANNELAS,MATT",1
06:16,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",1
06:11,,,,,"MISS JUMPER by TURNER,JAMES",,,"MISS JUMPER by TURNER,JAMES",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
05:53,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
05:53,"GOOD FT by GUMP,MATT",12,,15 (+3),,CEN 12-15 (-3),,"GOOD FT by GUMP,MATT",1
05:53,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
05:36,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
05:35,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",1
05:33,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",14,,15 (+1),,CEN 14-15 (-1),,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",1
05:15,,,,,"MISS JUMPER by TURNER,JAMES",,,"MISS JUMPER by TURNER,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:12,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
05:12,"GOOD FT by GRUBER,SAM",15,,15,,CEN 15-15 (0),,"GOOD FT by GRUBER,SAM",1
05:12,"GOOD FT by GRUBER,SAM",16 (+1),,15,,CEN 16-15 (+1),,"GOOD FT by GRUBER,SAM",1
05:12,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
