Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
17:18,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
17:16,"STEAL  by BUTTS,KEYSHAWN",,,,,,,"STEAL  by BUTTS,KEYSHAWN",2
16:54,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",2
16:53,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",2
16:50,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",2
16:50,"BLOCK  by GALVIN,DANIEL",,,,,,,"BLOCK  by GALVIN,DANIEL",2
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",2
16:37,"MISS JUMPER by GEE,TYLER",,,,,,,"MISS JUMPER by GEE,TYLER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
16:12,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",2
15:44,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
15:44,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
15:44,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
15:44,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
15:44,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
15:40,"MISS LAYUP by GALVIN,DANIEL",,,,,,,"MISS LAYUP by GALVIN,DANIEL",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
15:30,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",2
15:28,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
15:28,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",2
15:28,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
15:10,,17,,36 (+19),"GOOD JUMPER by WESLEY,TYLER(in the paint)",CEN 17-36 (+19),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
14:54,"MISS JUMPER by MCINTYRE,WILL",,,,,,,"MISS JUMPER by MCINTYRE,WILL",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
