Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
18:03,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
18:03,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
17:50,,47 (+21),,26,"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 47-26 (+21),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",2
17:16,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",49 (+23),,26,,CENTREM 49-26 (+23),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
17:03,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
16:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:43,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
16:40,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
16:30,,49 (+21),,28,"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 49-28 (+21),,"GOOD JUMPER by MCELVEEN,MAC",2
16:19,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",2
