Time Remaining,CENTR,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
05:28,,25,,30 (+5),"GOOD JUMPER by RICHARDSON,CAM",AC 25-30 (-5),,"GOOD JUMPER by RICHARDSON,CAM",1
05:07,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by EUTON,DAKOTAH",,,"REBOUND DEF by EUTON,DAKOTAH",1
04:46,,,,,"MISS JUMPER by LAMB,KYLE",,,"MISS JUMPER by LAMB,KYLE",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
04:40,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
04:37,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by EUTON,DAKOTAH",,,"REBOUND DEF by EUTON,DAKOTAH",1
04:30,,25,,32 (+7),"GOOD JUMPER by LAMB,KYLE(in the paint)",AC 25-32 (-7),,"GOOD JUMPER by LAMB,KYLE(in the paint)",1
04:07,,,,,"FOUL  by PENNY,CJ",,,"FOUL  by PENNY,CJ",1
04:07,"MISS FT by TAYLOR,CHRIS",,,,,,,"MISS FT by TAYLOR,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:07,"GOOD FT by TAYLOR,CHRIS",26,,32 (+6),,CENTR 26-32 (-6),,"GOOD FT by TAYLOR,CHRIS",1
04:07,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
04:07,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
04:07,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
04:07,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
04:07,,,,,"SUB IN by BAIR,KYLE",,,"SUB IN by BAIR,KYLE",1
04:07,,,,,"SUB IN by GILBERT,JORDAN",,,"SUB IN by GILBERT,JORDAN",1
04:07,,,,,"SUB OUT by FLANNERY,AUSTIN",,,"SUB OUT by FLANNERY,AUSTIN",1
04:07,,,,,"SUB OUT by LAMB,KYLE",,,"SUB OUT by LAMB,KYLE",1
03:53,,26,,35 (+9),"GOOD 3PTR by GILBERT,JORDAN",AC 26-35 (-9),,"GOOD 3PTR by GILBERT,JORDAN",1
03:42,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by EUTON,DAKOTAH",,,"REBOUND DEF by EUTON,DAKOTAH",1
03:31,,,,,"MISS 3PTR by GILBERT,JORDAN",,,"MISS 3PTR by GILBERT,JORDAN",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
