Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
04:55,,,,,"SUB OUT by JONES,MYLES",,,"SUB OUT by JONES,MYLES",1
04:48,,,,,"FOUL  by PALMER,BRADY",,,"FOUL  by PALMER,BRADY",1
04:48,"GOOD FT by GERALD,DUSTIN",17,,24 (+7),,CENTRE 17-24 (-7),,"GOOD FT by GERALD,DUSTIN",1
04:48,"MISS FT by GERALD,DUSTIN",,,,,,,"MISS FT by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by FITZGERALD,JACKSON",,,"REBOUND DEF by FITZGERALD,JACKSON",1
04:48,,,,,"SUB IN by PLATT,DAEVON",,,"SUB IN by PLATT,DAEVON",1
04:48,,,,,"SUB OUT by GERNATT,JONATHAN",,,"SUB OUT by GERNATT,JONATHAN",1
04:40,,,,,"MISS 3PTR by PALMER,BRADY",,,"MISS 3PTR by PALMER,BRADY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:26,"MISS LAYUP by BAUGHMAN,CARTER",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
04:25,,,,,"FOUL  by BARNETTE,CHRIS",,,"FOUL  by BARNETTE,CHRIS",1
04:25,"SUB IN by BANKS,JAXSON",,,,,,,"SUB IN by BANKS,JAXSON",1
04:25,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
04:19,"GOOD LAYUP by MOORE,CHEZ(in the paint)",19,,24 (+5),,CENTRE 19-24 (-5),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
04:06,,,,,"MISS 3PTR by BARNETTE,CHRIS",,,"MISS 3PTR by BARNETTE,CHRIS",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
03:57,"MISS JUMPER by WILLIAMS,JALEN",,,,,,,"MISS JUMPER by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by FITZGERALD,JACKSON",,,"REBOUND DEF by FITZGERALD,JACKSON",1
03:46,"FOUL  by BANKS,JAXSON",,,,,,,"FOUL  by BANKS,JAXSON",1
