Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
04:19,"GOOD JUMPER by KINNEAR,KYLE(in the paint)",25,,25,,MSPSM 25-25 (0),,"GOOD JUMPER by KINNEAR,KYLE(in the paint)",1
04:11,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",1
04:08,"STEAL  by WHITE,TIM",,,,,,,"STEAL  by WHITE,TIM",1
04:07,,,,,"FOUL  by CRAFT,BLAKE",,,"FOUL  by CRAFT,BLAKE",1
04:07,"GOOD FT by GILLIGAN,TULLY",26 (+1),,25,,MSPSM 26-25 (+1),,"GOOD FT by GILLIGAN,TULLY",1
04:07,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by O'HARA,ROSS",,,"REBOUND DEF by O'HARA,ROSS",1
04:07,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
04:07,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
04:07,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
04:07,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
04:07,,,,,"SUB IN by MUNCH,PETER",,,"SUB IN by MUNCH,PETER",1
04:07,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",1
03:44,,26,,27 (+1),"GOOD JUMPER by O'HARA,ROSS(in the paint)",LCM 26-27 (-1),,"GOOD JUMPER by O'HARA,ROSS(in the paint)",1
03:19,,,,,"FOUL  by O'HARA,ROSS",,,"FOUL  by O'HARA,ROSS",1
03:19,"MISS FT by KINNEAR,KYLE",,,,,,,"MISS FT by KINNEAR,KYLE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:19,"GOOD FT by KINNEAR,KYLE",27,,27,,MSPSM 27-27 (0),,"GOOD FT by KINNEAR,KYLE",1
03:19,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
03:19,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
03:16,,,,,"TURNOVER  by MITCHELL,NICK",,,"TURNOVER  by MITCHELL,NICK",1
03:13,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",1
02:47,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
02:46,,,,,"STEAL  by ANDERSON,KYRON",,,"STEAL  by ANDERSON,KYRON",1
02:45,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
02:45,,,,,"MISS FT by ANDERSON,KYRON",,,"MISS FT by ANDERSON,KYRON",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
02:45,,,,,"SUB IN by ROBINSON,DENZEL",,,"SUB IN by ROBINSON,DENZEL",1
