Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:35,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",2
19:18,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
18:43,"MISS LAYUP by WHITE,TIM",,,,,,,"MISS LAYUP by WHITE,TIM",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
18:37,,,,,"TURNOVER  by CHIEN,KEVIN",,,"TURNOVER  by CHIEN,KEVIN",2
18:03,"GOOD 3PTR by BROWN,JEFF",27 (+1),,26,,MSPSM 27-26 (+1),,"GOOD 3PTR by BROWN,JEFF",2
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",2
17:41,,,,,"MISS LAYUP by DUNAVANT,JOHN",,,"MISS LAYUP by DUNAVANT,JOHN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:05,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND OFF by WHITE,TIM",,,,,,,"REBOUND OFF by WHITE,TIM",2
17:05,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
17:05,"MISS FT by WHITE,TIM",,,,,,,"MISS FT by WHITE,TIM",2
17:05,"GOOD FT by WHITE,TIM",28 (+2),,26,,MSPSM 28-26 (+2),,"GOOD FT by WHITE,TIM",2
17:05,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
17:05,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
16:53,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",2
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",2
16:48,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
16:48,,28 (+1),,27,"GOOD FT by KILPATRICK,KORY",RCMBB12 28-27 (+1),,"GOOD FT by KILPATRICK,KORY",2
16:48,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
