Time Remaining,BERRY-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
15:17,"TURNOVER  by WOODS,STEFAN",,,,,,,"TURNOVER  by WOODS,STEFAN",2
15:16,,,,,"STEAL  by AFFRONTI,LEWIS",,,"STEAL  by AFFRONTI,LEWIS",2
15:02,,38,,38,"GOOD JUMPER by NELSON,ANVIL",SEWANEE 38-38 (0),,"GOOD JUMPER by NELSON,ANVIL",2
14:53,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",40 (+2),,38,,BERRY-M 40-38 (-2),,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",2
--,"ASSIST  by GADIE,KENDALL",,,,,,,"ASSIST  by GADIE,KENDALL",2
14:15,,,,,"MISS LAYUP by COWAN,MATT",,,"MISS LAYUP by COWAN,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:14,"FOUL  by LEBLANC,CASS",,,,,,,"FOUL  by LEBLANC,CASS",2
14:14,,,,,"MISS FT by COWAN,MATT",,,"MISS FT by COWAN,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:14,,,,,"MISS FT by COWAN,MATT",,,"MISS FT by COWAN,MATT",2
--,"REBOUND DEF by LEBLANC,CASS",,,,,,,"REBOUND DEF by LEBLANC,CASS",2
14:04,"GOOD LAYUP by MILES,TIM(in the paint)",42 (+4),,38,,BERRY-M 42-38 (-4),,"GOOD LAYUP by MILES,TIM(in the paint)",2
13:45,,42 (+1),,41,"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 42-41 (-1),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
13:43,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
13:23,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
13:05,,42,,44 (+2),"GOOD 3PTR by WILLIAMS,TRENT",SEWANEE 42-44 (+2),,"GOOD 3PTR by WILLIAMS,TRENT",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
12:51,"GOOD JUMPER by LEBLANC,CASS",44,,44,,BERRY-M 44-44 (0),,"GOOD JUMPER by LEBLANC,CASS",2
--,"ASSIST  by GADIE,KENDALL",,,,,,,"ASSIST  by GADIE,KENDALL",2
12:18,,44,,46 (+2),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 44-46 (+2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
12:00,"MISS JUMPER by GADIE,KENDALL",,,,,,,"MISS JUMPER by GADIE,KENDALL",2
