Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UTT,Game Score,Team Indicator,Play,Period
12:22,,,,,"FOUL  by OBUKWELU,EMEKA",,,"FOUL  by OBUKWELU,EMEKA",1
12:22,"GOOD FT by SAMSON,VAUGHN",21 (+6),,15,,RHODES 21-15 (+6),,"GOOD FT by SAMSON,VAUGHN",1
12:22,"MISS FT by SAMSON,VAUGHN",,,,,,,"MISS FT by SAMSON,VAUGHN",1
--,"REBOUND OFF by SAMSON,VAUGHN",,,,,,,"REBOUND OFF by SAMSON,VAUGHN",1
12:22,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",23 (+8),,15,,RHODES 23-15 (+8),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
12:22,,,,,"FOUL  by LANE,JOHNELL",,,"FOUL  by LANE,JOHNELL",1
12:22,"GOOD FT by SAMSON,VAUGHN",24 (+9),,15,,RHODES 24-15 (+9),,"GOOD FT by SAMSON,VAUGHN",1
12:22,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
12:22,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
12:22,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
12:22,"SUB IN by ROTEMAN,EVAN",,,,,,,"SUB IN by ROTEMAN,EVAN",1
12:22,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:22,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
12:22,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
12:22,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
12:22,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
12:22,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
12:22,,,,,"SUB IN by LANE,JOHNELL",,,"SUB IN by LANE,JOHNELL",1
12:22,,,,,"SUB OUT by HADDEN,SKYLER",,,"SUB OUT by HADDEN,SKYLER",1
12:10,,24 (+7),,17,"GOOD DUNK by OBUKWELU,EMEKA(fastbreak)(in the paint)",UTT 24-17 (+7),,"GOOD DUNK by OBUKWELU,EMEKA(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FRANK,CAMERON",,,"ASSIST  by FRANK,CAMERON",1
11:53,"MISS LAYUP by SWIFT,DJ",,,,,,,"MISS LAYUP by SWIFT,DJ",1
--,,,,,"REBOUND DEF by ANTHONY,MELVIN",,,"REBOUND DEF by ANTHONY,MELVIN",1
11:46,,,,,"MISS LAYUP by FRANK,CAMERON",,,"MISS LAYUP by FRANK,CAMERON",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
11:31,"GOOD 3PTR by BERRY,BRYCE",27 (+10),,17,,RHODES 27-17 (+10),,"GOOD 3PTR by BERRY,BRYCE",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
11:20,,27 (+8),,19,"GOOD JUMPER by FRANK,CAMERON(in the paint)",UTT 27-19 (+8),,"GOOD JUMPER by FRANK,CAMERON(in the paint)",1
--,,,,,"ASSIST  by ANTHONY,MELVIN",,,"ASSIST  by ANTHONY,MELVIN",1
11:05,"TURNOVER  by SWIFT,DJ",,,,,,,"TURNOVER  by SWIFT,DJ",1
11:03,,,,,"STEAL  by LANE,JOHNELL",,,"STEAL  by LANE,JOHNELL",1
10:54,,27 (+6),,21,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",UTT 27-21 (+6),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
--,,,,,"ASSIST  by ANTHONY,MELVIN",,,"ASSIST  by ANTHONY,MELVIN",1
10:42,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
10:40,,,,,"STEAL  by ANTHONY,MELVIN",,,"STEAL  by ANTHONY,MELVIN",1
10:35,,27 (+4),,23,"GOOD LAYUP by OBUKWELU,EMEKA(fastbreak)(in the paint)",UTT 27-23 (+4),,"GOOD LAYUP by OBUKWELU,EMEKA(fastbreak)(in the paint)",1
