Time Remaining,FUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
18:06,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:06,,20,,39 (+19),"GOOD FT by HOECK,RYAN VAN",RHODES 20-39 (+19),,"GOOD FT by HOECK,RYAN VAN",2
17:52,"TURNOVER  by RUCKER,DARIUS",,,,,,,"TURNOVER  by RUCKER,DARIUS",2
17:52,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
17:52,"FOUL  by RUCKER,DARIUS",,,,,,,"FOUL  by RUCKER,DARIUS",2
17:52,"SUB IN by DJONA,LELIS",,,,,,,"SUB IN by DJONA,LELIS",2
17:52,"SUB OUT by RUCKER,DARIUS",,,,,,,"SUB OUT by RUCKER,DARIUS",2
17:26,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by SCHIRMER,COLIN",,,,,,,"REBOUND DEF by SCHIRMER,COLIN",2
17:14,"TURNOVER  by SCHIRMER,COLIN",,,,,,,"TURNOVER  by SCHIRMER,COLIN",2
17:13,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
17:04,"FOUL  by SCHIRMER,COLIN",,,,,,,"FOUL  by SCHIRMER,COLIN",2
17:04,,20,,40 (+20),"GOOD FT by MILLER,DREW",RHODES 20-40 (+20),,"GOOD FT by MILLER,DREW",2
17:04,,20,,41 (+21),"GOOD FT by MILLER,DREW",RHODES 20-41 (+21),,"GOOD FT by MILLER,DREW",2
17:04,"SUB IN by LAKE,JACK",,,,,,,"SUB IN by LAKE,JACK",2
17:04,"SUB OUT by SCHIRMER,COLIN",,,,,,,"SUB OUT by SCHIRMER,COLIN",2
17:04,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
