Time Remaining,SEW-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
03:43,"GOOD LAYUP by BROWN,SETH(fastbreak)(in the paint)",32 (+17),,15,,SEW-M 32-15 (+17),,"GOOD LAYUP by BROWN,SETH(fastbreak)(in the paint)",1
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",1
03:30,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",1
03:26,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
03:26,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
03:26,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
03:22,,32 (+14),,18,"GOOD 3PTR by FORTE,MCCARTY",BCM 32-18 (+14),,"GOOD 3PTR by FORTE,MCCARTY",1
--,,,,,"ASSIST  by NEWKIRK,KAHLIL",,,"ASSIST  by NEWKIRK,KAHLIL",1
03:08,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
03:08,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
02:57,,,,,"TURNOVER  by NEWKIRK,KAHLIL",,,"TURNOVER  by NEWKIRK,KAHLIL",1
02:56,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",1
02:50,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
02:46,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
02:46,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:40,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
02:40,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
02:40,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
02:40,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
02:40,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",1
02:40,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",1
02:16,"MISS LAYUP by JONES,CODY",,,,,,,"MISS LAYUP by JONES,CODY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:16,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
02:06,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",1
02:05,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",1
02:02,"GOOD LAYUP by MCCULLOUGH,JACOB(fastbreak)(in the paint)",34 (+16),,18,,SEW-M 34-18 (+16),,"GOOD LAYUP by MCCULLOUGH,JACOB(fastbreak)(in the paint)",1
01:54,,34 (+14),,20,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",BCM 34-20 (+14),,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",1
01:37,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
01:28,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",1
01:22,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
01:21,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",1
01:15,"GOOD LAYUP by STONE,BRODY(fastbreak)(in the paint)",36 (+16),,20,,SEW-M 36-20 (+16),,"GOOD LAYUP by STONE,BRODY(fastbreak)(in the paint)",1
--,"ASSIST  by JONES,CODY",,,,,,,"ASSIST  by JONES,CODY",1
01:13,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:13,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
01:13,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
01:13,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
01:13,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
01:13,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
01:13,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
01:13,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
01:13,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
01:13,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
01:13,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
01:13,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
01:13,,,,,"SUB IN by SCHICK,BRANDON",,,"SUB IN by SCHICK,BRANDON",1
01:13,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
01:13,,,,,"SUB OUT by NEWKIRK,KAHLIL",,,"SUB OUT by NEWKIRK,KAHLIL",1
01:00,,36 (+13),,23,"GOOD 3PTR by JOHNSON,CALEB",BCM 36-23 (+13),,"GOOD 3PTR by JOHNSON,CALEB",1
--,,,,,"ASSIST  by SCHERRMAN,BLAKE",,,"ASSIST  by SCHERRMAN,BLAKE",1
00:39,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",,,"REBOUND DEF by SCHERRMAN,BLAKE",1
00:30,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:22,,36 (+11),,25,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",BCM 36-25 (+11),,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",1
00:12,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
00:12,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
00:00,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:24,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",2
19:24,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
