Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
02:16,,,,,"STEAL  by MONK,BRANDON",,,"STEAL  by MONK,BRANDON",1
02:12,,,,,"MISS JUMPER by AUGHBURNS,IRVING",,,"MISS JUMPER by AUGHBURNS,IRVING",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
02:04,"GOOD JUMPER by MCCULLOUGH,JACOB(fastbreak)(in the paint)",33 (+12),,21,,SEWANE~1 33-21 (+12),,"GOOD JUMPER by MCCULLOUGH,JACOB(fastbreak)(in the paint)",1
01:42,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
01:42,,33 (+11),,22,"GOOD FT by MONK,BRANDON",MUMB 33-22 (+11),,"GOOD FT by MONK,BRANDON",1
01:42,,33 (+10),,23,"GOOD FT by MONK,BRANDON",MUMB 33-23 (+10),,"GOOD FT by MONK,BRANDON",1
01:42,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
01:42,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
01:42,,,,,"SUB IN by AYABARRENO,DAVION",,,"SUB IN by AYABARRENO,DAVION",1
01:42,,,,,"SUB OUT by AUGHBURNS,IRVING",,,"SUB OUT by AUGHBURNS,IRVING",1
01:15,"GOOD 3PTR by WILLIAMS,JORDEN",36 (+13),,23,,SEWANE~1 36-23 (+13),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
00:55,,36 (+11),,25,"GOOD LAYUP by HILLIARD,TABIAS(in the paint)",MUMB 36-25 (+11),,"GOOD LAYUP by HILLIARD,TABIAS(in the paint)",1
00:55,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
00:55,,36 (+10),,26,"GOOD FT by HILLIARD,TABIAS",MUMB 36-26 (+10),,"GOOD FT by HILLIARD,TABIAS",1
