Time Remaining,WC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
02:02,,28 (+2),,26,"GOOD JUMPER by COMAN,SEAN(in the paint)",HENDRIX 28-26 (-2),,"GOOD JUMPER by COMAN,SEAN(in the paint)",1
02:02,"FOUL  by SOW,BILAL",,,,,,,"FOUL  by SOW,BILAL",1
02:02,,28 (+1),,27,"GOOD FT by COMAN,SEAN",HENDRIX 28-27 (-1),,"GOOD FT by COMAN,SEAN",1
02:02,"SUB IN by AARON,COLLMANN",,,,,,,"SUB IN by AARON,COLLMANN",1
02:02,"SUB OUT by SOW,BILAL",,,,,,,"SUB OUT by SOW,BILAL",1
01:48,"GOOD 3PTR by BIRD,BRYCE",31 (+4),,27,,WC 31-27 (-4),,"GOOD 3PTR by BIRD,BRYCE",1
--,"ASSIST  by MITCHELL,TRAVIS",,,,,,,"ASSIST  by MITCHELL,TRAVIS",1
01:23,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
01:15,,31 (+2),,29,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",HENDRIX 31-29 (-2),,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
00:53,"MISS LAYUP by MITCHELL,TRAVIS",,,,,,,"MISS LAYUP by MITCHELL,TRAVIS",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
00:46,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
00:38,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
