Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
00:01,,29,,29,"GOOD FT by COMAN,SEAN",HENDRIX 29-29 (0),,"GOOD FT by COMAN,SEAN",1
00:01,,,,,"MISS FT by COMAN,SEAN",,,"MISS FT by COMAN,SEAN",1
--,"REBOUND DEF by DUKES,JACOB",,,,,,,"REBOUND DEF by DUKES,JACOB",1
19:48,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
19:40,"GOOD LAYUP by NIX,GRAYSON(in the paint)",31 (+2),,29,,OZARKS 31-29 (-2),,"GOOD LAYUP by NIX,GRAYSON(in the paint)",2
19:19,,31,,32 (+1),"GOOD 3PTR by COMAN,SEAN",HENDRIX 31-32 (+1),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
19:00,"MISS LAYUP by NIX,GRAYSON",,,,,,,"MISS LAYUP by NIX,GRAYSON",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
18:52,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by RYAN,JONATHAN",,,"REBOUND OFF by RYAN,JONATHAN",2
18:45,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
18:10,"TURNOVER  by ROELKE,KAMREN",,,,,,,"TURNOVER  by ROELKE,KAMREN",2
18:09,,,,,"STEAL  by CONRAD,ALEX",,,"STEAL  by CONRAD,ALEX",2
17:48,,,,,"MISS 3PTR by RYAN,JONATHAN",,,"MISS 3PTR by RYAN,JONATHAN",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
17:40,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",2
--,"REBOUND OFF by LITTLE,CARTER",,,,,,,"REBOUND OFF by LITTLE,CARTER",2
17:31,"TURNOVER  by FRESH,RAY",,,,,,,"TURNOVER  by FRESH,RAY",2
17:31,"FOUL  by FRESH,RAY",,,,,,,"FOUL  by FRESH,RAY",2
17:31,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",2
17:31,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",2
17:17,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
17:12,"GOOD LAYUP by LITTLE,CARTER(fastbreak)(in the paint)",33 (+1),,32,,OZARKS 33-32 (-1),,"GOOD LAYUP by LITTLE,CARTER(fastbreak)(in the paint)",2
--,"ASSIST  by NIX,GRAYSON",,,,,,,"ASSIST  by NIX,GRAYSON",2
17:04,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
17:02,"STEAL  by NIX,GRAYSON",,,,,,,"STEAL  by NIX,GRAYSON",2
17:00,"MISS LAYUP by NIX,GRAYSON",,,,,,,"MISS LAYUP by NIX,GRAYSON",2
17:00,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
16:49,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",2
16:49,"BLOCK  by DUKES,JACOB",,,,,,,"BLOCK  by DUKES,JACOB",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
