Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
00:20,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
00:20,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
00:20,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",1
00:20,,,,,"SUB IN by GULLEY,TREVOR",,,"SUB IN by GULLEY,TREVOR",1
00:20,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",1
00:20,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",1
19:51,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",2
19:51,,,,,"STEAL  by CAMMON,JOSH",,,"STEAL  by CAMMON,JOSH",2
19:47,,37,,40 (+3),"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",OU 37-40 (-3),,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",2
19:11,"GOOD JUMPER by JENKINS,KALEB(in the paint)",39,,40 (+1),,MC 39-40 (-1),,"GOOD JUMPER by JENKINS,KALEB(in the paint)",2
18:52,,39,,42 (+3),"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OU 39-42 (-3),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
18:38,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",2
18:38,,,,,"STEAL  by CAMMON,JOSH",,,"STEAL  by CAMMON,JOSH",2
18:36,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
18:36,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",2
18:09,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",41,,42 (+1),,MC 41-42 (-1),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",2
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",2
18:04,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
17:55,"GOOD 3PTR by SPIKES,KALVIN",44 (+2),,42,,MC 44-42 (+2),,"GOOD 3PTR by SPIKES,KALVIN",2
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",2
17:36,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
17:33,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",2
17:33,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",2
17:24,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",46 (+4),,42,,MC 46-42 (+4),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",2
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",2
17:09,,,,,"MISS LAYUP by DAY,JUSTIN",,,"MISS LAYUP by DAY,JUSTIN",2
17:09,"BLOCK  by MCLAURIN,RYAN",,,,,,,"BLOCK  by MCLAURIN,RYAN",2
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",2
17:01,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
16:51,,,,,"MISS JUMPER by CAMMON,JOSH",,,"MISS JUMPER by CAMMON,JOSH",2
