Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
07:59,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
07:54,,20,,27 (+7),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 20-27 (+7),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
07:41,"MISS 3PTR by REED,AUSTIN",,,,,,,"MISS 3PTR by REED,AUSTIN",1
--,"REBOUND OFF by YOUNG,QUESHOD",,,,,,,"REBOUND OFF by YOUNG,QUESHOD",1
07:38,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
07:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:28,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
07:28,"MISS FT by DUPREE,RYAN",,,,,,,"MISS FT by DUPREE,RYAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:28,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
07:28,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
07:28,"GOOD FT by DUPREE,RYAN",21,,27 (+6),,BU 21-27 (+6),,"GOOD FT by DUPREE,RYAN",1
07:17,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
07:01,"MISS JUMPER by JONES,JUSTIN",,,,,,,"MISS JUMPER by JONES,JUSTIN",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
06:52,"FOUL  by JONES,JUSTIN",,,,,,,"FOUL  by JONES,JUSTIN",1
06:52,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
06:52,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
06:52,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",1
06:52,"SUB IN by ROBERTS,JOSHUA",,,,,,,"SUB IN by ROBERTS,JOSHUA",1
