Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
02:53,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",1
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",1
02:36,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
02:34,"STEAL  by MARTIN,SAM",,,,,,,"STEAL  by MARTIN,SAM",1
02:11,"MISS JUMPER by BEVIACQUA,BRYAN",,,,,,,"MISS JUMPER by BEVIACQUA,BRYAN",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
02:02,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
01:53,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:45,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
01:45,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
01:45,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
01:45,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
01:45,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
01:45,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",1
01:45,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",1
01:45,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",1
01:45,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
01:45,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
01:45,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
01:45,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
01:45,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
01:45,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
01:42,,,,,"MISS JUMPER by CHIEN,KEVIN",,,"MISS JUMPER by CHIEN,KEVIN",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
01:37,,34,,41 (+7),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 34-41 (-7),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
01:31,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
01:31,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",1
01:31,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
01:12,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",1
00:00,"GOOD JUMPER by NELSON,ANVIL",36,,41 (+5),,SEW 36-41 (-5),,"GOOD JUMPER by NELSON,ANVIL",1
19:50,"GOOD JUMPER by BRYANT,VALENTINO",38,,41 (+3),,SEW 38-41 (-3),,"GOOD JUMPER by BRYANT,VALENTINO",2
19:38,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",2
19:28,"GOOD JUMPER by BRYANT,VALENTINO",40,,41 (+1),,SEW 40-41 (-1),,"GOOD JUMPER by BRYANT,VALENTINO",2
18:58,,,,,"MISS LAYUP by KILPATRICK,KORY",,,"MISS LAYUP by KILPATRICK,KORY",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
18:51,,40,,43 (+3),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 40-43 (-3),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
18:24,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
18:21,"GOOD LAYUP by NELSON,ANVIL(in the paint)",42,,43 (+1),,SEW 42-43 (-1),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
