Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,ELMIRA,Game Score,Team Indicator,Play,Period
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",2
16:09,,57 (+22),,35,"GOOD 3PTR by HARKINS,HAYDEN",ELMIRA 57-35 (+22),,"GOOD 3PTR by HARKINS,HAYDEN",2
15:52,"GOOD 3PTR by KARSNER,JOSH",60 (+25),,35,,CENTRE_M 60-35 (+25),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
15:27,,,,,"TURNOVER  by BORELLI,DAVID",,,"TURNOVER  by BORELLI,DAVID",2
15:27,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",2
15:27,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",2
15:27,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
15:27,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
15:27,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
15:27,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
15:27,,,,,"SUB IN by RUBACK,JUSTIN",,,"SUB IN by RUBACK,JUSTIN",2
15:27,,,,,"SUB IN by MULLANE,JOHN",,,"SUB IN by MULLANE,JOHN",2
15:27,,,,,"SUB IN by CESARE,NICK",,,"SUB IN by CESARE,NICK",2
15:27,,,,,"SUB OUT by DIBBLE,TYLER",,,"SUB OUT by DIBBLE,TYLER",2
15:27,,,,,"SUB OUT by HARKINS,HAYDEN",,,"SUB OUT by HARKINS,HAYDEN",2
15:27,,,,,"SUB OUT by BORELLI,DAVID",,,"SUB OUT by BORELLI,DAVID",2
15:12,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",2
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",2
15:10,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",62 (+27),,35,,CENTRE_M 62-35 (+27),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
15:04,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:33,,,,,"MISS LAYUP by MULLANE,JOHN",,,"MISS LAYUP by MULLANE,JOHN",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
14:14,,,,,"FOUL  by MULLANE,JOHN",,,"FOUL  by MULLANE,JOHN",2
14:03,"GOOD DUNK by KARSNER,JOSH(in the paint)",64 (+29),,35,,CENTRE_M 64-35 (+29),,"GOOD DUNK by KARSNER,JOSH(in the paint)",2
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",2
13:38,,64 (+27),,37,"GOOD JUMPER by MULLANE,JOHN(in the paint)",ELMIRA 64-37 (+27),,"GOOD JUMPER by MULLANE,JOHN(in the paint)",2
13:18,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by RUBACK,JUSTIN",,,"REBOUND DEF by RUBACK,JUSTIN",2
13:10,,,,,"MISS LAYUP by CESARE,NICK",,,"MISS LAYUP by CESARE,NICK",2
--,,,,,"REBOUND OFF by MULLANE,JOHN",,,"REBOUND OFF by MULLANE,JOHN",2
12:57,,,,,"TURNOVER  by CESARE,NICK",,,"TURNOVER  by CESARE,NICK",2
12:57,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
12:57,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
12:57,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
12:57,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
12:57,,,,,"SUB IN by BADMOS,OLADAPO",,,"SUB IN by BADMOS,OLADAPO",2
12:57,,,,,"SUB OUT by LEONARDI,GINO",,,"SUB OUT by LEONARDI,GINO",2
12:32,"GOOD 3PTR by GEEGAN,MIKE",67 (+30),,37,,CENTRE_M 67-37 (+30),,"GOOD 3PTR by GEEGAN,MIKE",2
--,"ASSIST  by REPISHTI,BRYAN",,,,,,,"ASSIST  by REPISHTI,BRYAN",2
12:13,,,,,"MISS 3PTR by CESARE,NICK",,,"MISS 3PTR by CESARE,NICK",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
11:54,"GOOD LAYUP by GUMP,MATT(in the paint)",69 (+32),,37,,CENTRE_M 69-37 (+32),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
