Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
19:18,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",2
--,,,,,"REBOUND DEF by MUCHMORE,COREY",,,"REBOUND DEF by MUCHMORE,COREY",2
19:16,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
19:02,,,,,"MISS 3PTR by MCDONALD,NIC",,,"MISS 3PTR by MCDONALD,NIC",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
18:50,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",34 (+8),,26,,CENTRE 34-26 (+8),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2
18:50,,,,,"FOUL  by MUCHMORE,COREY",,,"FOUL  by MUCHMORE,COREY",2
18:50,"GOOD FT by SCINTA,BLAKE",35 (+9),,26,,CENTRE 35-26 (+9),,"GOOD FT by SCINTA,BLAKE",2
18:50,,,,,"SUB IN by KLEUNEN,MICHAEL VAN",,,"SUB IN by KLEUNEN,MICHAEL VAN",2
18:50,,,,,"SUB OUT by MUCHMORE,COREY",,,"SUB OUT by MUCHMORE,COREY",2
18:16,,35 (+7),,28,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",HANOVER 35-28 (+7),,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",2
--,,,,,"ASSIST  by JAMES,KYLE",,,"ASSIST  by JAMES,KYLE",2
17:55,"GOOD LAYUP by KARSNER,JOSH(in the paint)",37 (+9),,28,,CENTRE 37-28 (+9),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
17:25,,37 (+7),,30,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",HANOVER 37-30 (+7),,"GOOD LAYUP by KLEUNEN,MICHAEL VAN(in the paint)",2
--,,,,,"ASSIST  by JAMES,KYLE",,,"ASSIST  by JAMES,KYLE",2
16:56,,,,,"FOUL  by BILLUPS,VJ",,,"FOUL  by BILLUPS,VJ",2
16:33,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",39 (+9),,30,,CENTRE 39-30 (+9),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2
16:13,,,,,"MISS JUMPER by BILLUPS,VJ",,,"MISS JUMPER by BILLUPS,VJ",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
15:52,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
15:52,,,,,"BLOCK  by KLEUNEN,MICHAEL VAN",,,"BLOCK  by KLEUNEN,MICHAEL VAN",2
--,,,,,"REBOUND DEF by MCDONALD,NIC",,,"REBOUND DEF by MCDONALD,NIC",2
15:46,,39 (+7),,32,"GOOD LAYUP by MCDONALD,NIC(fastbreak)(in the paint)",HANOVER 39-32 (+7),,"GOOD LAYUP by MCDONALD,NIC(fastbreak)(in the paint)",2
15:23,"GOOD 3PTR by GUMP,MATT",42 (+10),,32,,CENTRE 42-32 (+10),,"GOOD 3PTR by GUMP,MATT",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
15:07,,42 (+8),,34,"GOOD LAYUP by JAMES,KYLE(in the paint)",HANOVER 42-34 (+8),,"GOOD LAYUP by JAMES,KYLE(in the paint)",2
14:49,,,,,"FOUL  by MCDONALD,NIC",,,"FOUL  by MCDONALD,NIC",2
14:49,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",2
14:49,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",2
14:49,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",2
14:49,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
14:49,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
