Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
00:03,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",1
00:00,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",1
19:32,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:30,,,,,"FOUL  by GUIMARAES,GUILHERME",,,"FOUL  by GUIMARAES,GUILHERME",2
19:08,"GOOD JUMPER by CARTER,KESHONN",22,,31 (+9),,SEWANEE 22-31 (-9),,"GOOD JUMPER by CARTER,KESHONN",2
18:42,,,,,"FOUL  by GUIMARAES,GUILHERME",,,"FOUL  by GUIMARAES,GUILHERME",2
18:42,,,,,"TURNOVER  by GUIMARAES,GUILHERME",,,"TURNOVER  by GUIMARAES,GUILHERME",2
18:26,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",2
18:25,,,,,"STEAL  by HARGROVE,LEON",,,"STEAL  by HARGROVE,LEON",2
18:22,,,,,"TURNOVER  by HARGROVE,LEON",,,"TURNOVER  by HARGROVE,LEON",2
18:00,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",2
17:51,,,,,"MISS LAYUP by MURRAY,MIKE",,,"MISS LAYUP by MURRAY,MIKE",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
17:22,"GOOD JUMPER by WILLIAMS,JORDEN",24,,31 (+7),,SEWANEE 24-31 (-7),,"GOOD JUMPER by WILLIAMS,JORDEN",2
17:09,,,,,"MISS 3PTR by LEWIS,GREG",,,"MISS 3PTR by LEWIS,GREG",2
--,,,,,"REBOUND OFF by GUIMARAES,GUILHERME",,,"REBOUND OFF by GUIMARAES,GUILHERME",2
17:05,,,,,"FOUL  by GUIMARAES,GUILHERME",,,"FOUL  by GUIMARAES,GUILHERME",2
17:05,,,,,"TURNOVER  by GUIMARAES,GUILHERME",,,"TURNOVER  by GUIMARAES,GUILHERME",2
17:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
17:05,,,,,"SUB IN by KUEHN,HUNTER",,,"SUB IN by KUEHN,HUNTER",2
17:05,,,,,"SUB IN by DUNCAN,JAKE",,,"SUB IN by DUNCAN,JAKE",2
17:05,,,,,"SUB OUT by GUIMARAES,GUILHERME",,,"SUB OUT by GUIMARAES,GUILHERME",2
17:05,,,,,"SUB OUT by HARGROVE,LEON",,,"SUB OUT by HARGROVE,LEON",2
16:30,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",2
16:27,"GOOD TIPIN by CALDWELL,MARCELLUS(in the paint)",26,,31 (+5),,SEWANEE 26-31 (-5),,"GOOD TIPIN by CALDWELL,MARCELLUS(in the paint)",2
15:57,,26,,33 (+7),"GOOD LAYUP by MURRAY,MIKE(in the paint)",HSC 26-33 (-7),,"GOOD LAYUP by MURRAY,MIKE(in the paint)",2
15:34,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
