Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
00:15,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
00:02,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",21,,23 (+2),,SEWANEE 21-23 (-2),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
19:48,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
19:48,"GOOD FT by CARTER,KESHONN",22,,23 (+1),,SEWANEE 22-23 (-1),,"GOOD FT by CARTER,KESHONN",2
19:48,"GOOD FT by CARTER,KESHONN",23,,23,,SEWANEE 23-23 (0),,"GOOD FT by CARTER,KESHONN",2
19:19,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
18:57,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
18:41,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
18:30,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",25 (+2),,23,,SEWANEE 25-23 (+2),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",2
18:14,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
18:14,"STEAL  by TOME,MATT",,,,,,,"STEAL  by TOME,MATT",2
18:03,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
17:55,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",2
17:47,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
17:47,"GOOD FT by CALDWELL,MARCELLUS",26 (+3),,23,,SEWANEE 26-23 (+3),,"GOOD FT by CALDWELL,MARCELLUS",2
17:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
17:47,"GOOD FT by CALDWELL,MARCELLUS",27 (+4),,23,,SEWANEE 27-23 (+4),,"GOOD FT by CALDWELL,MARCELLUS",2
17:35,,27 (+1),,26,"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 27-26 (+1),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
17:14,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
16:53,,27,,28 (+1),"GOOD JUMPER by MILLER,DREW(in the paint)",RHODES 27-28 (-1),,"GOOD JUMPER by MILLER,DREW(in the paint)",2
16:36,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",2
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",2
