Time Remaining,BRESCIA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
01:19,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
01:19,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
01:04,,18,,26 (+8),"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",CENTRE_M 18-26 (+8),,"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",1
00:50,"MISS LAYUP by MORRIS,AUSTIN",,,,,,,"MISS LAYUP by MORRIS,AUSTIN",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
00:37,,18,,29 (+11),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 18-29 (+11),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
00:02,"MISS LAYUP by ROWE,HUNTER",,,,,,,"MISS LAYUP by ROWE,HUNTER",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
19:51,"TURNOVER  by CHRISTIAN,MYRON",,,,,,,"TURNOVER  by CHRISTIAN,MYRON",2
19:49,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",2
19:47,,18,,31 (+13),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 18-31 (+13),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",2
19:36,"MISS 3PTR by CHRISTIAN,MYRON",,,,,,,"MISS 3PTR by CHRISTIAN,MYRON",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
19:22,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND DEF by LANGLEY,JERMAIN",,,,,,,"REBOUND DEF by LANGLEY,JERMAIN",2
19:02,"MISS JUMPER by MORRIS,AUSTIN",,,,,,,"MISS JUMPER by MORRIS,AUSTIN",2
