Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
03:59,,,,,"SUB IN by MITCHELL,JAMES",,,"SUB IN by MITCHELL,JAMES",1
03:59,,,,,"SUB OUT by BRYAN,WILLIAM",,,"SUB OUT by BRYAN,WILLIAM",1
03:59,,,,,"SUB OUT by HOLLIS,MITCHELL",,,"SUB OUT by HOLLIS,MITCHELL",1
03:49,,,,,"MISS LAYUP by CRUMLY,WILL",,,"MISS LAYUP by CRUMLY,WILL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:33,,24,,26 (+2),"GOOD LAYUP by HENRY,GAGE(in the paint)",CCM 24-26 (-2),,"GOOD LAYUP by HENRY,GAGE(in the paint)",1
03:12,,,,,"FOUL  by SPRAGG,BAILEY",,,"FOUL  by SPRAGG,BAILEY",1
03:05,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
03:02,"GOOD LAYUP by SMITH,RJ(in the paint)",26,,26,,CENTRE-M 26-26 (0),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
03:01,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
03:01,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
03:01,,,,,"SUB IN by PALMER,NICK",,,"SUB IN by PALMER,NICK",1
03:01,,,,,"SUB OUT by OETJEN,NOAH",,,"SUB OUT by OETJEN,NOAH",1
02:45,,26,,28 (+2),"GOOD JUMPER by SPRAGG,BAILEY",CCM 26-28 (-2),,"GOOD JUMPER by SPRAGG,BAILEY",1
02:27,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
02:27,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
02:27,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
02:27,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
02:06,,26,,30 (+4),"GOOD LAYUP by PALMER,NICK(in the paint)",CCM 26-30 (-4),,"GOOD LAYUP by PALMER,NICK(in the paint)",1
01:48,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
01:48,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
01:41,"GOOD JUMPER by BATES,JACOB(in the paint)",28,,30 (+2),,CENTRE-M 28-30 (-2),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
