Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
00:49,"MISS 3PTR by SPITZER,JAKOB",,,,,,,"MISS 3PTR by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
00:45,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
00:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:11,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
00:11,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
00:11,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
00:11,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
00:11,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
00:01,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
00:01,,47 (+9),,38,"GOOD FT by THOM,IAN",16BSC-M 47-38 (+9),,"GOOD FT by THOM,IAN",1
00:01,,47 (+8),,39,"GOOD FT by THOM,IAN",16BSC-M 47-39 (+8),,"GOOD FT by THOM,IAN",1
00:01,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
00:01,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
00:01,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
00:01,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
00:01,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
00:01,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
19:38,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
19:38,,47 (+7),,40,"GOOD FT by RUDAK,MATTY",16BSC-M 47-40 (+7),,"GOOD FT by RUDAK,MATTY",2
19:38,,47 (+6),,41,"GOOD FT by RUDAK,MATTY",16BSC-M 47-41 (+6),,"GOOD FT by RUDAK,MATTY",2
19:38,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
19:38,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
19:09,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
19:09,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
18:50,,47 (+4),,43,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 47-43 (+4),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
18:36,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
18:32,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
18:17,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
18:17,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
18:10,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
17:59,"GOOD LAYUP by RAKES,BAILEY(in the paint)",49 (+6),,43,,CENTRE-M 49-43 (+6),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
17:59,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
17:59,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
17:49,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
17:47,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
17:45,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
