Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:41,,27,,35 (+8),"GOOD FT by KAHL,COLIN",Sewan 27-35 (-8),,"GOOD FT by KAHL,COLIN",1
03:27,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",29,,35 (+6),,Mill 29-35 (-6),,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",1
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",1
03:27,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
03:27,"MISS FT by UGHOVWA,NICHOLAS",,,,,,,"MISS FT by UGHOVWA,NICHOLAS",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
03:20,,29,,37 (+8),"GOOD JUMPER by WILLIAMS,RASHAUN(fastbreak)(in the paint)",Sewan 29-37 (-8),,"GOOD JUMPER by WILLIAMS,RASHAUN(fastbreak)(in the paint)",1
03:05,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
03:05,,,,,"STEAL  by WILLIAMS,RASHAUN",,,"STEAL  by WILLIAMS,RASHAUN",1
02:59,,29,,39 (+10),"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",Sewan 29-39 (-10),,"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",1
02:45,"MISS 3PTR by LITTLE ,JAMES",,,,,,,"MISS 3PTR by LITTLE ,JAMES",1
--,,,,,"REBOUND DEF by WILLIAMS,RASHAUN",,,"REBOUND DEF by WILLIAMS,RASHAUN",1
02:29,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
02:29,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",1
02:29,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
02:15,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
02:01,,29,,42 (+13),"GOOD 3PTR by CORRIGAN,TRE",Sewan 29-42 (-13),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
01:49,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
01:49,,,,,"STEAL  by CORRIGAN,TRE",,,"STEAL  by CORRIGAN,TRE",1
01:40,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
01:33,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
01:33,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
01:33,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
01:33,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
01:16,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
01:07,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
01:01,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
01:01,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
01:01,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
00:51,"GOOD JUMPER by URSIN,AARON",31,,42 (+11),,Mill 31-42 (-11),,"GOOD JUMPER by URSIN,AARON",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
00:30,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
00:30,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
00:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:30,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
00:30,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
00:30,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
00:30,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
00:03,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",33,,42 (+9),,Mill 33-42 (-9),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,"ASSIST  by BONNECAZE,STEWART",,,,,,,"ASSIST  by BONNECAZE,STEWART",1
00:03,,,,,"TURNOVER  by WILLIAMS,RASHAUN",,,"TURNOVER  by WILLIAMS,RASHAUN",1
00:03,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",1
