Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
02:27,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
02:23,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
02:23,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
02:23,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
02:23,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
02:23,"SUB OUT by GARWOOD,MACKIE",,,,,,,"SUB OUT by GARWOOD,MACKIE",1
02:23,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
02:23,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
02:23,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
02:23,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
02:23,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
02:23,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
02:16,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
02:16,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
02:16,"GOOD 3PTR by CRUMLY,JONNY",33 (+6),,27,,Sewan 33-27 (+6),,"GOOD 3PTR by CRUMLY,JONNY",1
--,"ASSIST  by KNOX,JOEY",,,,,,,"ASSIST  by KNOX,JOEY",1
01:47,,33 (+4),,29,"GOOD JUMPER by RAKES,BAILEY(in the paint)",Centre 33-29 (+4),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",1
01:13,"MISS JUMPER by KNOX,JOEY",,,,,,,"MISS JUMPER by KNOX,JOEY",1
01:13,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
01:01,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:46,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
00:46,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
00:25,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
00:01,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
20:00,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
20:00,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
19:50,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
19:50,"STEAL  by WARLICK,JORDAN",,,,,,,"STEAL  by WARLICK,JORDAN",2
19:32,"GOOD JUMPER by KNOX,JOEY",35 (+6),,29,,Sewan 35-29 (+6),,"GOOD JUMPER by KNOX,JOEY",2
19:10,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",2
18:57,"GOOD 3PTR by KNOX,JOEY",38 (+9),,29,,Sewan 38-29 (+9),,"GOOD 3PTR by KNOX,JOEY",2
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",2
18:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
18:37,,38 (+7),,31,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",Centre 38-31 (+7),,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",2
18:07,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",40 (+9),,31,,Sewan 40-31 (+9),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",2
17:48,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
