Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
01:51,,,,,"SUB OUT by GREEN,THOMAS",,,"SUB OUT by GREEN,THOMAS",1
01:40,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",1
01:31,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:18,,,,,"TURNOVER  by MADISON,DAMIEN",,,"TURNOVER  by MADISON,DAMIEN",1
01:18,"STEAL  by BARRY,MICHAEL",,,,,,,"STEAL  by BARRY,MICHAEL",1
00:51,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",1
--,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",,,"REBOUND DEF by ZACHERY,CEAUNTE",1
00:43,,41 (+8),,33,"GOOD LAYUP by WASHINGTON,AARON(in the paint)",Hunt 41-33 (+8),,"GOOD LAYUP by WASHINGTON,AARON(in the paint)",1
00:43,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",1
00:43,,41 (+7),,34,"GOOD FT by WASHINGTON,AARON",Hunt 41-34 (+7),,"GOOD FT by WASHINGTON,AARON",1
00:43,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",1
00:43,,,,,"SUB OUT by BOYD,CAM",,,"SUB OUT by BOYD,CAM",1
00:33,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",,,"REBOUND DEF by ZACHERY,CEAUNTE",1
00:26,,41 (+5),,36,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",Hunt 41-36 (+5),,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",1
00:07,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",1
20:00,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",2
20:00,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",2
20:00,,,,,"SUB IN by CHAMPION,JACOB",,,"SUB IN by CHAMPION,JACOB",2
20:00,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",2
20:00,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",2
20:00,,,,,"SUB OUT by ZACHERY,CEAUNTE",,,"SUB OUT by ZACHERY,CEAUNTE",2
20:00,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",2
20:00,,,,,"SUB OUT by WASHINGTON,AARON",,,"SUB OUT by WASHINGTON,AARON",2
19:45,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
19:36,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",2
19:36,,,,,"STEAL  by CHAMPION,JACOB",,,"STEAL  by CHAMPION,JACOB",2
19:26,,,,,"TURNOVER  by CHAMPION,JACOB",,,"TURNOVER  by CHAMPION,JACOB",2
19:17,"GOOD 3PTR by STARR,RYAN",44 (+8),,36,,Sewan 44-36 (+8),,"GOOD 3PTR by STARR,RYAN",2
19:07,,,,,"MISS JUMPER by HARRIS,JAMES",,,"MISS JUMPER by HARRIS,JAMES",2
--,,,,,"REBOUND OFF by BOHLING,DYLAN",,,"REBOUND OFF by BOHLING,DYLAN",2
18:55,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",2
