Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
02:22,,,,,"MISS 3PTR by SMITH,IRA",,,"MISS 3PTR by SMITH,IRA",1
--,,,,,"REBOUND OFF by BENNETT,LINCOLN",,,"REBOUND OFF by BENNETT,LINCOLN",1
02:19,,,,,"SUB IN by WAGNER,MARK",,,"SUB IN by WAGNER,MARK",1
02:19,,,,,"SUB OUT by SMITH,IRA",,,"SUB OUT by SMITH,IRA",1
02:15,,,,,"MISS 3PTR by BENNETT,LINCOLN",,,"MISS 3PTR by BENNETT,LINCOLN",1
--,,,,,"REBOUND OFF by ANDERSON,KYRON",,,"REBOUND OFF by ANDERSON,KYRON",1
02:05,,,,,"MISS 3PTR by BAXTER,DUSTIN",,,"MISS 3PTR by BAXTER,DUSTIN",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
01:57,"GOOD LAYUP by THOMAS,LARRY(in the paint)",31,,40 (+9),,BSC 31-40 (-9),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
01:27,,31,,42 (+11),"GOOD JUMPER by ANDERSON,KYRON(in the paint)",LC 31-42 (-11),,"GOOD JUMPER by ANDERSON,KYRON(in the paint)",1
01:17,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by BENNETT,LINCOLN",,,"REBOUND DEF by BENNETT,LINCOLN",1
