Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:43,,,,,"STEAL  by ABRAMS,JONATHAN",,,"STEAL  by ABRAMS,JONATHAN",2
19:40,,23,,30 (+7),"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",BCM 23-30 (-7),,"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",2
19:28,,,,,"FOUL  by GRAHAM,LAKE",,,"FOUL  by GRAHAM,LAKE",2
19:22,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",2
19:20,,,,,"FOUL  by MARSH,CODY",,,"FOUL  by MARSH,CODY",2
19:01,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
18:55,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",25,,30 (+5),,BSCM 25-30 (-5),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
18:25,,,,,"MISS 3PTR by ABRAMS,JONATHAN",,,"MISS 3PTR by ABRAMS,JONATHAN",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
18:08,"GOOD LAYUP by THOMAS,LARRY(in the paint)",27,,30 (+3),,BSCM 27-30 (-3),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
17:33,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
17:27,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",29,,30 (+1),,BSCM 29-30 (-1),,"GOOD LAYUP by RICHARDS,ZAC(fastbreak)(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
