Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
06:29,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",1
06:29,,,,,"SUB OUT by CHADWICK,SCOTTY",,,"SUB OUT by CHADWICK,SCOTTY",1
06:29,,,,,"SUB OUT by ELMORE,TC",,,"SUB OUT by ELMORE,TC",1
06:18,,25,,34 (+9),"GOOD 3PTR by PINES,KYANTE",HCM 25-34 (-9),,"GOOD 3PTR by PINES,KYANTE",1
--,,,,,"ASSIST  by BOYD,CAM",,,"ASSIST  by BOYD,CAM",1
06:07,"TURNOVER  by BUTLER,TERENCE",,,,,,,"TURNOVER  by BUTLER,TERENCE",1
06:02,,,,,"STEAL  by PINES,KYANTE",,,"STEAL  by PINES,KYANTE",1
06:01,,25,,36 (+11),"GOOD LAYUP by PINES,KYANTE(fastbreak)(in the paint)",HCM 25-36 (-11),,"GOOD LAYUP by PINES,KYANTE(fastbreak)(in the paint)",1
05:57,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
05:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:57,,,,,"MISS FT by PINES,KYANTE",,,"MISS FT by PINES,KYANTE",1
--,"REBOUND DEF by DENBESTIN,COLE",,,,,,,"REBOUND DEF by DENBESTIN,COLE",1
05:57,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
05:57,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
05:57,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
05:57,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
05:44,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",1
05:43,,,,,"STEAL  by KING,ISAIAH",,,"STEAL  by KING,ISAIAH",1
05:36,,,,,"MISS 3PTR by PINES,KYANTE",,,"MISS 3PTR by PINES,KYANTE",1
--,"REBOUND DEF by ALLISON,ZACH",,,,,,,"REBOUND DEF by ALLISON,ZACH",1
05:22,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",1
05:21,,,,,"STEAL  by PINES,KYANTE",,,"STEAL  by PINES,KYANTE",1
05:17,,,,,"MISS 3PTR by PINES,KYANTE",,,"MISS 3PTR by PINES,KYANTE",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
05:06,"TURNOVER  by YANCEY,RICH",,,,,,,"TURNOVER  by YANCEY,RICH",1
05:06,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
05:06,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
04:54,,,,,"MISS LAYUP by KING,ISAIAH",,,"MISS LAYUP by KING,ISAIAH",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
04:42,"GOOD LAYUP by ALLISON,ZACH(in the paint)",27,,36 (+9),,17BSC-M 27-36 (-9),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",1
04:26,,,,,"MISS LAYUP by BOYD,CAM",,,"MISS LAYUP by BOYD,CAM",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
04:12,"MISS 3PTR by YANCEY,RICH",,,,,,,"MISS 3PTR by YANCEY,RICH",1
--,"REBOUND OFF by YANCEY,RICH",,,,,,,"REBOUND OFF by YANCEY,RICH",1
04:06,"MISS LAYUP by YANCEY,RICH",,,,,,,"MISS LAYUP by YANCEY,RICH",1
04:06,,,,,"BLOCK  by HOBSON,CHARVEZ'",,,"BLOCK  by HOBSON,CHARVEZ'",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:45,,27,,38 (+11),"GOOD LAYUP by ELMORE,TC(in the paint)",HCM 27-38 (-11),,"GOOD LAYUP by ELMORE,TC(in the paint)",1
03:33,"MISS 3PTR by MOORE,KADEN",,,,,,,"MISS 3PTR by MOORE,KADEN",1
--,,,,,"REBOUND DEF by BOYD,CAM",,,"REBOUND DEF by BOYD,CAM",1
