Time Remaining,BU-M,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
06:35,,,,,"MISS LAYUP by YANCEY,RICH",,,"MISS LAYUP by YANCEY,RICH",1
--,"REBOUND DEF by HEERINGEN,GIAN VAN",,,,,,,"REBOUND DEF by HEERINGEN,GIAN VAN",1
06:19,,,,,"FOUL  by RUDAK,MATEUSZ",,,"FOUL  by RUDAK,MATEUSZ",1
06:19,"GOOD FT by MCCOY,TOMMY",16,,30 (+14),,BU-M 16-30 (+14),,"GOOD FT by MCCOY,TOMMY",1
06:19,"GOOD FT by MCCOY,TOMMY",17,,30 (+13),,BU-M 17-30 (+13),,"GOOD FT by MCCOY,TOMMY",1
06:19,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
06:19,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
06:19,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
06:19,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
06:19,,,,,"SUB OUT by HARTER,J MORGAN",,,"SUB OUT by HARTER,J MORGAN",1
06:19,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
06:12,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by JONES,JUSTIN",,,,,,,"REBOUND DEF by JONES,JUSTIN",1
06:04,"MISS JUMPER by JONES,JUSTIN",,,,,,,"MISS JUMPER by JONES,JUSTIN",1
06:04,,,,,"BLOCK  by RUDAK,MATEUSZ",,,"BLOCK  by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
05:52,"FOUL  by JONES,JUSTIN",,,,,,,"FOUL  by JONES,JUSTIN",1
05:52,,17,,31 (+14),"GOOD FT by SPENCE,BEN",17BSC-M 17-31 (+14),,"GOOD FT by SPENCE,BEN",1
