Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
04:34,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
04:34,"SUB IN by MCCURRY,CONAL",,,,,,,"SUB IN by MCCURRY,CONAL",1
04:34,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
04:34,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
04:34,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
04:34,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
04:34,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
04:27,"FOUL  by MCCURRY,CONAL",,,,,,,"FOUL  by MCCURRY,CONAL",1
04:21,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
04:18,"STEAL  by SPENCE,BEN",,,,,,,"STEAL  by SPENCE,BEN",1
03:56,"GOOD LAYUP by YANCEY,RICH(in the paint)",27 (+11),,16,,17BSC-M 27-16 (+11),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
--,"ASSIST  by MCCURRY,CONAL",,,,,,,"ASSIST  by MCCURRY,CONAL",1
03:30,,,,,"MISS LAYUP by HIRSH,ELIJAH",,,"MISS LAYUP by HIRSH,ELIJAH",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
03:21,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
03:21,,,,,"STEAL  by FORTE,MCCARTY",,,"STEAL  by FORTE,MCCARTY",1
03:21,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
03:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:21,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
03:21,"SUB IN by HARTER,J MORGAN",,,,,,,"SUB IN by HARTER,J MORGAN",1
03:21,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
03:21,"SUB OUT by MCCURRY,CONAL",,,,,,,"SUB OUT by MCCURRY,CONAL",1
03:21,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
03:21,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
03:21,,,,,"SUB IN by FALCONER,TREY",,,"SUB IN by FALCONER,TREY",1
03:21,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
03:08,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",29 (+13),,16,,17BSC-M 29-16 (+13),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
--,"ASSIST  by YANCEY,RICH",,,,,,,"ASSIST  by YANCEY,RICH",1
02:56,,29 (+11),,18,"GOOD JUMPER by JOHNSON,CORY",BCM 29-18 (+11),,"GOOD JUMPER by JOHNSON,CORY",1
02:43,,,,,"FOUL  by FALCONER,TREY",,,"FOUL  by FALCONER,TREY",1
02:43,"GOOD FT by RUDAK,MATEUSZ",30 (+12),,18,,17BSC-M 30-18 (+12),,"GOOD FT by RUDAK,MATEUSZ",1
02:43,"GOOD FT by RUDAK,MATEUSZ",31 (+13),,18,,17BSC-M 31-18 (+13),,"GOOD FT by RUDAK,MATEUSZ",1
02:41,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
02:41,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",1
02:30,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
02:30,"SUB OUT by HARTER,J MORGAN",,,,,,,"SUB OUT by HARTER,J MORGAN",1
02:25,,31 (+11),,20,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",BCM 31-20 (+11),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
02:18,,,,,"FOUL  by HIRSH,ELIJAH",,,"FOUL  by HIRSH,ELIJAH",1
02:18,"GOOD FT by GONDA,MATT",32 (+12),,20,,17BSC-M 32-20 (+12),,"GOOD FT by GONDA,MATT",1
02:18,"MISS FT by GONDA,MATT",,,,,,,"MISS FT by GONDA,MATT",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
02:18,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",1
02:18,,,,,"SUB OUT by FALCONER,TREY",,,"SUB OUT by FALCONER,TREY",1
02:10,"MISS LAYUP by RUDAK,MATEUSZ",,,,,,,"MISS LAYUP by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",1
02:05,,32 (+10),,22,"GOOD LAYUP by MARDER,NICK(in the paint)",BCM 32-22 (+10),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
01:54,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND DEF by JOHNSON,CORY",,,"REBOUND DEF by JOHNSON,CORY",1
01:48,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",1
01:45,"STEAL  by DENBESTEN,COLE",,,,,,,"STEAL  by DENBESTEN,COLE",1
01:33,"MISS LAYUP by DENBESTEN,COLE",,,,,,,"MISS LAYUP by DENBESTEN,COLE",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
01:33,,32 (+8),,24,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 32-24 (+8),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",1
01:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:39,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",1
00:39,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",1
00:36,"MISS 3PTR by RUDAK,MATEUSZ",,,,,,,"MISS 3PTR by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by JOHNSON,CORY",,,"REBOUND DEF by JOHNSON,CORY",1
00:26,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",1
00:26,,,,,"MISS FT by MCCLOUD,ALTON",,,"MISS FT by MCCLOUD,ALTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:26,,32 (+7),,25,"GOOD FT by MCCLOUD,ALTON",BCM 32-25 (+7),,"GOOD FT by MCCLOUD,ALTON",1
00:26,"GOOD 3PTR by SPENCE,BEN",35 (+10),,25,,17BSC-M 35-25 (+10),,"GOOD 3PTR by SPENCE,BEN",1
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",1
00:26,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
00:26,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
00:05,,,,,"MISS JUMPER by MCCLOUD,ALTON",,,"MISS JUMPER by MCCLOUD,ALTON",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
