Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
03:23,"GOOD FT by SPENCE,BEN",34 (+8),,26,,BSC 34-26 (+8),,"GOOD FT by SPENCE,BEN",1
03:23,"GOOD FT by SPENCE,BEN",35 (+9),,26,,BSC 35-26 (+9),,"GOOD FT by SPENCE,BEN",1
03:23,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
03:23,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
03:23,,,,,"SUB IN by ROBINSON,SAMMY",,,"SUB IN by ROBINSON,SAMMY",1
03:23,,,,,"SUB IN by SCANLON,MARK",,,"SUB IN by SCANLON,MARK",1
03:23,,,,,"SUB OUT by HENDERSON,RYAN",,,"SUB OUT by HENDERSON,RYAN",1
03:23,,,,,"SUB OUT by ENGLISH,TYLER",,,"SUB OUT by ENGLISH,TYLER",1
03:03,,,,,"TURNOVER  by LEONE,JAMES",,,"TURNOVER  by LEONE,JAMES",1
03:02,"STEAL  by GONDA,MATT",,,,,,,"STEAL  by GONDA,MATT",1
02:56,"MISS 3PTR by BUTLER,TERENCE",,,,,,,"MISS 3PTR by BUTLER,TERENCE",1
--,,,,,"REBOUND DEF by LEONE,JAMES",,,"REBOUND DEF by LEONE,JAMES",1
02:41,,35 (+6),,29,"GOOD 3PTR by SCANLON,MARK",SJFC 35-29 (+6),,"GOOD 3PTR by SCANLON,MARK",1
--,,,,,"ASSIST  by HAIGHT,JAKE",,,"ASSIST  by HAIGHT,JAKE",1
02:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:32,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
02:32,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
02:32,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
02:32,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
02:32,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
02:32,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
