Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
05:53,"SUB IN by DOSS,DARIUN",,,,,,,"SUB IN by DOSS,DARIUN",1
05:53,"SUB IN by WRIGHT,THOMAS",,,,,,,"SUB IN by WRIGHT,THOMAS",1
05:53,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,"REBOUND DEF by EVANS,CHRIS",,,,,,,"REBOUND DEF by EVANS,CHRIS",1
05:39,"MISS JUMPER by DOSS,DARIUN(in the paint)",,,,,,,"MISS JUMPER by DOSS,DARIUN(in the paint)",1
--,"REBOUND OFF by DOSS,DARIUN",,,,,,,"REBOUND OFF by DOSS,DARIUN",1
05:27,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
05:27,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",1
05:27,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
05:27,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
05:27,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",1
05:27,"SUB OUT by EVANS,CHRIS",,,,,,,"SUB OUT by EVANS,CHRIS",1
05:27,"SUB IN by SHEPHERD,ANDREW",,,,,,,"SUB IN by SHEPHERD,ANDREW",1
05:27,"GOOD FT by CAUSEY,QUINTIYUS",33 (+3),,30,,MUW 33-30 (-3),,"GOOD FT by CAUSEY,QUINTIYUS",1
05:27,"GOOD FT by CAUSEY,QUINTIYUS",34 (+4),,30,,MUW 34-30 (-4),,"GOOD FT by CAUSEY,QUINTIYUS",1
05:12,,,,,"MISS LAYUP by DAVIS,BRODY(in the paint)",,,"MISS LAYUP by DAVIS,BRODY(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:03,"TURNOVER  by SHEPHERD,ANDREW",,,,,,,"TURNOVER  by SHEPHERD,ANDREW",1
05:03,,,,,"STEAL  by GREEN,KALEB",,,"STEAL  by GREEN,KALEB",1
04:57,,34 (+2),,32,"GOOD DUNK by GREEN,KALEB(fastbreak)(in the paint)",BSC 34-32 (-2),,"GOOD DUNK by GREEN,KALEB(fastbreak)(in the paint)",1
04:44,,,,,"FOUL  by GREEN,KALEB",,,"FOUL  by GREEN,KALEB",1
04:44,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
04:44,,,,,"SUB OUT by PATRICK,DYLAN",,,"SUB OUT by PATRICK,DYLAN",1
04:44,,,,,"SUB IN by GLOVER,CAM",,,"SUB IN by GLOVER,CAM",1
04:44,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
04:44,"MISS FT by ZERADJANIN,MILOS",,,,,,,"MISS FT by ZERADJANIN,MILOS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:36,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",1
04:22,"TURNOVER  by WRIGHT,THOMAS",,,,,,,"TURNOVER  by WRIGHT,THOMAS",1
04:07,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",1
03:54,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",1
03:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:54,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",1
03:54,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
