Time Remaining,SEWANEEM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
16:32,"GOOD 3PTR by BORN,LEO",26,,30 (+4),,SEWANEEM 26-30 (+4),,"GOOD 3PTR by BORN,LEO",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
16:12,,26,,33 (+7),"GOOD 3PTR by BERGER,RYAN",MILLSAPS 26-33 (+7),,"GOOD 3PTR by BERGER,RYAN",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
16:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:00,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
16:00,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
16:00,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",2
16:00,"SUB IN by DOWNEY,WILL",,,,,,,"SUB IN by DOWNEY,WILL",2
16:00,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",2
16:00,"SUB OUT by DOWNEY,WILL",,,,,,,"SUB OUT by DOWNEY,WILL",2
16:00,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
16:00,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
16:00,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
16:00,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
16:00,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
16:00,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
16:00,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
16:00,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
16:00,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
16:00,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
16:00,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
16:00,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
15:41,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
15:13,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",2
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",2
15:08,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",28,,33 (+5),,SEWANEEM 28-33 (+5),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",2
14:50,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
14:49,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
14:47,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",2
14:34,,28,,35 (+7),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 28-35 (+7),,"GOOD JUMPER by MCELVEEN,MAC",2
14:07,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
14:07,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
14:07,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
14:07,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
13:50,"GOOD JUMPER by BORN,CLAY",30,,35 (+5),,SEWANEEM 30-35 (+5),,"GOOD JUMPER by BORN,CLAY",2
13:33,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:27,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
13:27,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
13:27,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
13:27,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
13:27,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
13:27,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
13:06,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
12:46,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
12:46,,30,,36 (+6),"GOOD FT by KASTNER,MURRAY",MILLSAPS 30-36 (+6),,"GOOD FT by KASTNER,MURRAY",2
12:46,,30,,37 (+7),"GOOD FT by KASTNER,MURRAY",MILLSAPS 30-37 (+7),,"GOOD FT by KASTNER,MURRAY",2
12:40,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",2
12:39,,,,,"STEAL  by MCELVEEN,MAC",,,"STEAL  by MCELVEEN,MAC",2
12:38,,30,,39 (+9),"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",MILLSAPS 30-39 (+9),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",2
