Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
03:17,,21,,24 (+3),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 21-24 (+3),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
02:46,"GOOD LAYUP by PARK,BRANDON(in the paint)",23,,24 (+1),,BCM 23-24 (+1),,"GOOD LAYUP by PARK,BRANDON(in the paint)",1
02:21,,23,,26 (+3),"GOOD JUMPER by BERGER,RYAN",MILLSAPS 23-26 (+3),,"GOOD JUMPER by BERGER,RYAN",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
01:55,"MISS 3PTR by PARK,BRANDON",,,,,,,"MISS 3PTR by PARK,BRANDON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:50,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
01:50,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
01:25,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by JONES,RON",,,,,,,"REBOUND DEF by JONES,RON",1
01:17,"MISS LAYUP by WEBBER,CONNOR",,,,,,,"MISS LAYUP by WEBBER,CONNOR",1
--,"REBOUND OFF by WEBBER,CONNOR",,,,,,,"REBOUND OFF by WEBBER,CONNOR",1
01:14,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
01:14,"MISS FT by WEBBER,CONNOR",,,,,,,"MISS FT by WEBBER,CONNOR",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:14,"GOOD FT by WEBBER,CONNOR",24,,26 (+2),,BCM 24-26 (+2),,"GOOD FT by WEBBER,CONNOR",1
01:14,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
01:14,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
01:14,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
01:14,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
00:51,,24,,29 (+5),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 24-29 (+5),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
