Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
04:11,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
04:11,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
04:11,"MISS FT by WOMACK,NEHEMIAH(fastbreak)",,,,,,,"MISS FT by WOMACK,NEHEMIAH(fastbreak)",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
03:57,,29,,38 (+9),"GOOD LAYUP by GONDA,MATT(in the paint)",BSC 29-38 (+9),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
03:47,"MISS JUMPER by CHAMP,RANCE",,,,,,,"MISS JUMPER by CHAMP,RANCE",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
03:40,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:38,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
03:38,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
03:38,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
03:38,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
03:38,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
03:38,"BLOCK  by EDWARDS,KORRI",,,,,,,"BLOCK  by EDWARDS,KORRI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:21,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
03:21,"GOOD FT by EDWARDS,KORRI",30,,38 (+8),,BU 30-38 (+8),,"GOOD FT by EDWARDS,KORRI",1
03:21,"SUB OUT by COUCH,LUKE",,,,,,,"SUB OUT by COUCH,LUKE",1
03:21,"SUB IN by SHIELDS,RIAN",,,,,,,"SUB IN by SHIELDS,RIAN",1
03:21,"GOOD FT by EDWARDS,KORRI",31,,38 (+7),,BU 31-38 (+7),,"GOOD FT by EDWARDS,KORRI",1
03:04,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
02:58,,,,,"MISS JUMPER by SPENCE,BEN(in the paint)",,,"MISS JUMPER by SPENCE,BEN(in the paint)",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
02:55,"FOUL  by REED,AUSTIN",,,,,,,"FOUL  by REED,AUSTIN",1
