Time Remaining,BERRY,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
02:14,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
02:14,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
02:06,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",37 (+12),,25,,BERRY 37-25 (-12),,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
01:49,,37 (+10),,27,"GOOD JUMPER by BORN,CLAY",SEWANEE 37-27 (-10),,"GOOD JUMPER by BORN,CLAY",1
01:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:23,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
01:23,"MISS FT by JONES,BLAKE",,,,,,,"MISS FT by JONES,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:23,"GOOD FT by JONES,BLAKE",38 (+11),,27,,BERRY 38-27 (-11),,"GOOD FT by JONES,BLAKE",1
01:00,,38 (+8),,30,"GOOD 3PTR by STONE,BRODY",SEWANEE 38-30 (-8),,"GOOD 3PTR by STONE,BRODY",1
00:35,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
00:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:35,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
00:35,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
00:06,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
00:00,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
19:44,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
19:43,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",2
19:33,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",2
19:31,,,,,"STEAL  by STONE,BRODY",,,"STEAL  by STONE,BRODY",2
19:24,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
19:19,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",2
19:19,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
18:51,"GOOD JUMPER by SPALDING,TANNER",40 (+10),,30,,BERRY 40-30 (-10),,"GOOD JUMPER by SPALDING,TANNER",2
18:28,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
18:26,"STEAL  by JONES,BLAKE",,,,,,,"STEAL  by JONES,BLAKE",2
18:24,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",42 (+12),,30,,BERRY 42-30 (-12),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",2
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",2
18:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
18:16,,,,,"SUB IN by SPENCER,JC",,,"SUB IN by SPENCER,JC",2
18:16,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",2
18:16,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
18:16,,,,,"SUB IN by HOWELL,TAYLOR",,,"SUB IN by HOWELL,TAYLOR",2
18:16,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",2
18:16,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
18:16,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
18:16,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",2
18:16,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
18:16,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",2
18:01,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",2
18:01,,,,,"MISS FT by BORN,LEO",,,"MISS FT by BORN,LEO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:01,,42 (+11),,31,"GOOD FT by BORN,LEO",SEWANEE 42-31 (-11),,"GOOD FT by BORN,LEO",2
18:01,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",2
18:01,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",2
17:46,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",2
--,"REBOUND OFF by MCCLOUD,ALTON",,,,,,,"REBOUND OFF by MCCLOUD,ALTON",2
17:29,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",2
--,"REBOUND OFF by JOHNSON,CALEB",,,,,,,"REBOUND OFF by JOHNSON,CALEB",2
17:21,,,,,"FOUL  by HOWELL,TAYLOR",,,"FOUL  by HOWELL,TAYLOR",2
17:21,"MISS FT by MCCLOUD,ALTON",,,,,,,"MISS FT by MCCLOUD,ALTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:21,"GOOD FT by MCCLOUD,ALTON",43 (+12),,31,,BERRY 43-31 (-12),,"GOOD FT by MCCLOUD,ALTON",2
17:21,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
17:21,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
17:21,,,,,"SUB OUT by SPENCER,JC",,,"SUB OUT by SPENCER,JC",2
17:21,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
17:11,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",2
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",2
17:07,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",2
17:07,,43 (+10),,33,"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 43-33 (-10),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
17:07,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",45 (+12),,33,,BERRY 45-33 (-12),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",2
--,"ASSIST  by JOHNSON,CALEB",,,,,,,"ASSIST  by JOHNSON,CALEB",2
16:55,,45 (+10),,35,"GOOD JUMPER by HOWELL,TAYLOR",SEWANEE 45-35 (-10),,"GOOD JUMPER by HOWELL,TAYLOR",2
16:37,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
16:29,,45 (+8),,37,"GOOD JUMPER by BORN,CLAY",SEWANEE 45-37 (-8),,"GOOD JUMPER by BORN,CLAY",2
16:01,,,,,"FOUL  by HOWELL,TAYLOR",,,"FOUL  by HOWELL,TAYLOR",2
15:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:08,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",47 (+10),,37,,BERRY 47-37 (-10),,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",2
14:44,,,,,"MISS JUMPER by LEE,MATTHEW",,,"MISS JUMPER by LEE,MATTHEW",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
14:41,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",2
14:35,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",49 (+12),,37,,BERRY 49-37 (-12),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",2
14:35,,,,,"FOUL  by LEE,MATTHEW",,,"FOUL  by LEE,MATTHEW",2
14:35,"GOOD FT by JOHNSON,CALEB",50 (+13),,37,,BERRY 50-37 (-13),,"GOOD FT by JOHNSON,CALEB",2
14:35,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",2
14:35,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",2
14:35,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
