Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
00:40,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
00:32,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,"REBOUND OFF by BROWN,BRYCE",,,,,,,"REBOUND OFF by BROWN,BRYCE",1
00:27,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",1
00:22,"GOOD 3PTR by BROWN,BRYCE",26,,29 (+3),,Mill 26-29 (-3),,"GOOD 3PTR by BROWN,BRYCE",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
00:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:05,,,,,"MISS LAYUP by SHEN,KEVIN(in the paint)",,,"MISS LAYUP by SHEN,KEVIN(in the paint)",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
20:00,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
20:00,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
19:40,,,,,"MISS JUMPER by SHEN,KEVIN",,,"MISS JUMPER by SHEN,KEVIN",2
--,"REBOUND DEF by BROWN,BRYCE",,,,,,,"REBOUND DEF by BROWN,BRYCE",2
19:20,"MISS LAYUP by WATSON,DOUG(in the paint)",,,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
19:14,,26,,31 (+5),"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",Rhodes 26-31 (-5),,"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
18:47,"GOOD JUMPER by URSIN,AARON",28,,31 (+3),,Mill 28-31 (-3),,"GOOD JUMPER by URSIN,AARON",2
18:15,,,,,"MISS JUMPER by SHEN,KEVIN",,,"MISS JUMPER by SHEN,KEVIN",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
18:04,"GOOD 3PTR by URSIN,AARON",31,,31,,Mill 31-31 (0),,"GOOD 3PTR by URSIN,AARON",2
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",2
17:37,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
17:25,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",2
17:25,,,,,"MISS FT by GEORGETOWN II,ARNESS",,,"MISS FT by GEORGETOWN II,ARNESS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:25,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
17:25,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",2
17:25,,31,,32 (+1),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 31-32 (-1),,"GOOD FT by GEORGETOWN II,ARNESS",2
17:10,"GOOD JUMPER by BROWN,BRYCE",33 (+1),,32,,Mill 33-32 (+1),,"GOOD JUMPER by BROWN,BRYCE",2
16:45,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",2
--,"REBOUND DEF by BROWN,BROCK",,,,,,,"REBOUND DEF by BROWN,BROCK",2
