Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
05:50,"GOOD FT by JOHNS,NATE",28 (+9),,19,,Hunt 28-19 (-9),,"GOOD FT by JOHNS,NATE",1
05:50,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",1
05:50,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",1
05:50,"SUB OUT by TONEY,CALEB",,,,,,,"SUB OUT by TONEY,CALEB",1
05:50,"SUB IN by HARRIS,JAMES",,,,,,,"SUB IN by HARRIS,JAMES",1
05:26,,28 (+6),,22,"GOOD 3PTR by WILLIAMS,CAMERON",Mill 28-22 (-6),,"GOOD 3PTR by WILLIAMS,CAMERON",1
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",1
05:01,"MISS LAYUP by JOHNS,NATE(in the paint)",,,,,,,"MISS LAYUP by JOHNS,NATE(in the paint)",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
04:54,,,,,"MISS LAYUP by BROWN,BRYCE(in the paint)",,,"MISS LAYUP by BROWN,BRYCE(in the paint)",1
--,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",,,"REBOUND OFF by UGHOVWA,NICHOLAS",1
04:47,,28 (+4),,24,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",Mill 28-24 (-4),,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",1
04:30,"GOOD 3PTR by TAYLOR,WILLIE",31 (+7),,24,,Hunt 31-24 (-7),,"GOOD 3PTR by TAYLOR,WILLIE",1
--,"ASSIST  by HARRIS,JAMES",,,,,,,"ASSIST  by HARRIS,JAMES",1
04:11,,31 (+4),,27,"GOOD 3PTR by WILLIAMS,CAMERON",Mill 31-27 (-4),,"GOOD 3PTR by WILLIAMS,CAMERON",1
03:52,"GOOD LAYUP by HARRIS,JAMES(in the paint)",33 (+6),,27,,Hunt 33-27 (-6),,"GOOD LAYUP by HARRIS,JAMES(in the paint)",1
03:46,"FOUL  by JOHNS,NATE",,,,,,,"FOUL  by JOHNS,NATE",1
03:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:46,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
03:46,,,,,"SUB OUT by BROWN,BRYCE",,,"SUB OUT by BROWN,BRYCE",1
03:46,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
03:46,,,,,"SUB IN by BROWN,BROCK",,,"SUB IN by BROWN,BROCK",1
03:46,"SUB OUT by DAVIS,KEONDRE",,,,,,,"SUB OUT by DAVIS,KEONDRE",1
03:46,"SUB OUT by JOHNS,NATE",,,,,,,"SUB OUT by JOHNS,NATE",1
03:46,"SUB IN by JOHNSON,HORACE",,,,,,,"SUB IN by JOHNSON,HORACE",1
03:46,"SUB IN by BOHLING,DYLAN",,,,,,,"SUB IN by BOHLING,DYLAN",1
03:46,,,,,"MISS FT by EVANS,CHRISTIAN",,,"MISS FT by EVANS,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:46,,33 (+5),,28,"GOOD FT by EVANS,CHRISTIAN",Mill 33-28 (-5),,"GOOD FT by EVANS,CHRISTIAN",1
03:28,"MISS 3PTR by TAYLOR,WILLIE",,,,,,,"MISS 3PTR by TAYLOR,WILLIE",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
03:13,"FOUL  by GARDNER,MAX",,,,,,,"FOUL  by GARDNER,MAX",1
03:13,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
03:13,"SUB IN by MADISON,DAMIEN",,,,,,,"SUB IN by MADISON,DAMIEN",1
