Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Miss,Game Score,Team Indicator,Play,Period
01:20,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
01:20,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
01:20,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",1
01:03,"GOOD 3PTR by WILLIAMS,CAMERON",31,,33 (+2),,Mill 31-33 (-2),,"GOOD 3PTR by WILLIAMS,CAMERON",1
00:51,,31,,35 (+4),"GOOD JUMPER by JOVANOVIC,MARKO",Miss 31-35 (-4),,"GOOD JUMPER by JOVANOVIC,MARKO",1
--,,,,,"ASSIST  by THOMPSON,TRADAVIS",,,"ASSIST  by THOMPSON,TRADAVIS",1
00:37,"GOOD LAYUP by BROWN,BROCK(in the paint)",33,,35 (+2),,Mill 33-35 (-2),,"GOOD LAYUP by BROWN,BROCK(in the paint)",1
--,"ASSIST  by WILLIAMS,CAMERON",,,,,,,"ASSIST  by WILLIAMS,CAMERON",1
00:09,,,,,"MISS JUMPER by MILLER,MILES",,,"MISS JUMPER by MILLER,MILES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:01,,,,,"SUB OUT by JORDAN,JUDAH",,,"SUB OUT by JORDAN,JUDAH",1
00:01,,,,,"SUB OUT by JONES,ZACH",,,"SUB OUT by JONES,ZACH",1
00:01,,,,,"SUB IN by BERZAT,LAMONT",,,"SUB IN by BERZAT,LAMONT",1
00:01,,,,,"SUB IN by SMITH,GALEN",,,"SUB IN by SMITH,GALEN",1
00:01,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
00:01,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
00:01,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
00:01,"SUB IN by BASS,DEVIN",,,,,,,"SUB IN by BASS,DEVIN",1
20:00,,,,,"SUB OUT by JOVANOVIC,MARKO",,,"SUB OUT by JOVANOVIC,MARKO",2
20:00,,,,,"SUB IN by BOSTON,BRANDON",,,"SUB IN by BOSTON,BRANDON",2
20:00,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
20:00,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
20:00,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",2
20:00,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
20:00,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",2
20:00,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
19:54,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
