Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
11:45,,25 (+10),,15,"GOOD 3PTR by GAGEN,BRENNAN",MIL 25-15 (+10),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by BURT,DERRICK",,,"ASSIST  by BURT,DERRICK",1
11:31,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:28,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
11:28,,25 (+9),,16,"GOOD FT by GAGEN,BRENNAN",MIL 25-16 (+9),,"GOOD FT by GAGEN,BRENNAN",1
11:28,,,,,"MISS FT by GAGEN,BRENNAN",,,"MISS FT by GAGEN,BRENNAN",1
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",1
11:28,,25 (+7),,18,"GOOD JUMPER by BURT,DERRICK",MIL 25-18 (+7),,"GOOD JUMPER by BURT,DERRICK",1
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",1
11:28,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
11:28,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
11:28,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:28,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
11:28,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
11:28,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
11:28,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
11:28,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
11:28,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:28,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
11:05,,,,,"FOUL  by BURT,DERRICK",,,"FOUL  by BURT,DERRICK",1
11:04,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
