Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:27,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",2
--,"REBOUND OFF by JOHNSON,MICAH",,,,,,,"REBOUND OFF by JOHNSON,MICAH",2
19:26,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",2
19:26,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",2
19:26,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
19:06,"MISS 3PTR by JOHNSON,MICAH",,,,,,,"MISS 3PTR by JOHNSON,MICAH",2
--,"REBOUND OFF by JOHNSON,MICAH",,,,,,,"REBOUND OFF by JOHNSON,MICAH",2
18:59,"GOOD 3PTR by JOHNSON,MICAH",32 (+6),,26,,Berry 32-26 (-6),,"GOOD 3PTR by JOHNSON,MICAH",2
18:42,"FOUL  by JOHNSON,MICAH",,,,,,,"FOUL  by JOHNSON,MICAH",2
18:42,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:42,,32 (+5),,27,"GOOD FT by CRUMP,DAWSON",Centre 32-27 (-5),,"GOOD FT by CRUMP,DAWSON",2
18:25,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",2
18:25,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",2
18:18,,32 (+3),,29,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",Centre 32-29 (-3),,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",2
18:07,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",34 (+5),,29,,Berry 34-29 (-5),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",2
17:49,,,,,"MISS 3PTR by WELLS,GAGE",,,"MISS 3PTR by WELLS,GAGE",2
--,"REBOUND DEF by WEHUNT,DAWSON",,,,,,,"REBOUND DEF by WEHUNT,DAWSON",2
17:41,"TURNOVER  by JONES,DREW",,,,,,,"TURNOVER  by JONES,DREW",2
17:41,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",2
17:37,"FOUL  by WEHUNT,DAWSON",,,,,,,"FOUL  by WEHUNT,DAWSON",2
17:37,,34 (+4),,30,"GOOD FT by CRUMP,DAWSON(fastbreak)",Centre 34-30 (-4),,"GOOD FT by CRUMP,DAWSON(fastbreak)",2
17:37,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",2
17:37,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
17:37,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",2
17:37,"SUB IN by ESTES,DJ",,,,,,,"SUB IN by ESTES,DJ",2
