Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:31,"TURNOVER  by HOLLAND,ELI",,,,,,,"TURNOVER  by HOLLAND,ELI",1
02:18,,37 (+9),,28,"GOOD LAYUP by HORTON,KAVAN(in the paint)",BREV 37-28 (+9),,"GOOD LAYUP by HORTON,KAVAN(in the paint)",1
02:17,"FOUL  by WILLIAMS,RASHAUN",,,,,,,"FOUL  by WILLIAMS,RASHAUN",1
02:17,,37 (+8),,29,"GOOD FT by HORTON,KAVAN",BREV 37-29 (+8),,"GOOD FT by HORTON,KAVAN",1
02:17,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
02:17,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
02:17,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
02:17,"SUB OUT by WILLIAMS,RASHAUN",,,,,,,"SUB OUT by WILLIAMS,RASHAUN",1
01:59,"GOOD 3PTR by CORRIGAN,TRE",40 (+11),,29,,SEW 40-29 (+11),,"GOOD 3PTR by CORRIGAN,TRE",1
--,"ASSIST  by HOLLAND,ELI",,,,,,,"ASSIST  by HOLLAND,ELI",1
01:43,,,,,"MISS 3PTR by CARNES,JADON",,,"MISS 3PTR by CARNES,JADON",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
01:33,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",1
01:33,"TURNOVER  by HOLLAND,ELI",,,,,,,"TURNOVER  by HOLLAND,ELI",1
01:23,,,,,"MISS JUMPER by BOYETTE,LB",,,"MISS JUMPER by BOYETTE,LB",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
01:03,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by BOYETTE,LB",,,"REBOUND DEF by BOYETTE,LB",1
00:57,,40 (+9),,31,"GOOD LAYUP by BOYETTE,LB(fastbreak)(in the paint)",BREV 40-31 (+9),,"GOOD LAYUP by BOYETTE,LB(fastbreak)(in the paint)",1
00:42,,,,,"FOUL  by BOYETTE,LB",,,"FOUL  by BOYETTE,LB",1
00:34,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",42 (+11),,31,,SEW 42-31 (+11),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
00:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:31,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
00:31,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
00:10,,,,,"MISS 3PTR by CARNES,JADON",,,"MISS 3PTR by CARNES,JADON",1
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",1
00:00,"GOOD 3PTR by MARR,RUSS",45 (+14),,31,,SEW 45-31 (+14),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
19:44,,,,,"MISS 3PTR by BOYETTE,LB",,,"MISS 3PTR by BOYETTE,LB",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
19:25,"GOOD 3PTR by CORRIGAN,TRE",48 (+17),,31,,SEW 48-31 (+17),,"GOOD 3PTR by CORRIGAN,TRE",2
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",2
18:52,,,,,"TURNOVER  by CARNES,JADON",,,"TURNOVER  by CARNES,JADON",2
18:36,"MISS LAYUP by CRUMP,JOHN",,,,,,,"MISS LAYUP by CRUMP,JOHN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:27,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",2
18:27,,,,,"BLOCK  by CARTER,QUINCY",,,"BLOCK  by CARTER,QUINCY",2
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",2
18:10,,,,,"MISS LAYUP by BOYETTE,LB",,,"MISS LAYUP by BOYETTE,LB",2
--,,,,,"REBOUND OFF by CARTER,QUINCY",,,"REBOUND OFF by CARTER,QUINCY",2
18:05,,48 (+15),,33,"GOOD LAYUP by CARTER,QUINCY(in the paint)",BREV 48-33 (+15),,"GOOD LAYUP by CARTER,QUINCY(in the paint)",2
17:50,"GOOD LAYUP by KAHL,COLIN(in the paint)",50 (+17),,33,,SEW 50-33 (+17),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
17:26,,50 (+15),,35,"GOOD LAYUP by BOYETTE,LB(in the paint)",BREV 50-35 (+15),,"GOOD LAYUP by BOYETTE,LB(in the paint)",2
17:19,"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",52 (+17),,35,,SEW 52-35 (+17),,"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
16:59,,,,,"MISS 3PTR by EVANS,CARSON",,,"MISS 3PTR by EVANS,CARSON",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
16:46,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",2
--,,,,,"REBOUND DEF by CARTER,QUINCY",,,"REBOUND DEF by CARTER,QUINCY",2
16:36,,,,,"MISS JUMPER by WATSON,CHANCEY",,,"MISS JUMPER by WATSON,CHANCEY",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
16:26,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",54 (+19),,35,,SEW 54-35 (+19),,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",2
16:14,,,,,"TURNOVER  by WATSON,CHANCEY",,,"TURNOVER  by WATSON,CHANCEY",2
16:14,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",2
16:12,"GOOD LAYUP by CORRIGAN,TRE(fastbreak)(in the paint)",56 (+21),,35,,SEW 56-35 (+21),,"GOOD LAYUP by CORRIGAN,TRE(fastbreak)(in the paint)",2
16:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:10,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
16:10,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
16:10,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
16:10,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
16:10,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
15:56,,,,,"MISS 3PTR by CARTER,QUINCY",,,"MISS 3PTR by CARTER,QUINCY",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
15:52,,,,,"FOUL  by WATSON,CHANCEY",,,"FOUL  by WATSON,CHANCEY",2
15:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:40,"MISS LAYUP by MARR,RUSS",,,,,,,"MISS LAYUP by MARR,RUSS",2
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",2
15:35,"GOOD TIPIN by HOLLAND,ELI(in the paint)",58 (+23),,35,,SEW 58-35 (+23),,"GOOD TIPIN by HOLLAND,ELI(in the paint)",2
15:08,,58 (+21),,37,"GOOD LAYUP by CARNES,JADON(in the paint)",BREV 58-37 (+21),,"GOOD LAYUP by CARNES,JADON(in the paint)",2
--,,,,,"ASSIST  by BOYETTE,LB",,,"ASSIST  by BOYETTE,LB",2
14:51,"MISS LAYUP by SMITH,GRAHAM",,,,,,,"MISS LAYUP by SMITH,GRAHAM",2
--,,,,,"REBOUND DEF by BOYETTE,LB",,,"REBOUND DEF by BOYETTE,LB",2
14:43,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",2
14:43,,58 (+20),,38,"GOOD FT by BOYETTE,LB",BREV 58-38 (+20),,"GOOD FT by BOYETTE,LB",2
14:43,,58 (+19),,39,"GOOD FT by BOYETTE,LB",BREV 58-39 (+19),,"GOOD FT by BOYETTE,LB",2
14:32,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",60 (+21),,39,,SEW 60-39 (+21),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
