Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
01:23,,24,,41 (+17),"GOOD FT by CALDWELL,CAM",SEWANEE 24-41 (+17),,"GOOD FT by CALDWELL,CAM",1
01:23,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
01:23,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
01:23,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
01:23,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
01:23,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",1
01:23,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
01:13,,,,,"FOUL  by HOLLOWAY,JACK",,,"FOUL  by HOLLOWAY,JACK",1
01:13,"GOOD FT by RUDAK,MATEUSZ",25,,41 (+16),,17BSC-M 25-41 (+16),,"GOOD FT by RUDAK,MATEUSZ",1
01:13,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
01:13,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
01:13,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
00:50,,25,,44 (+19),"GOOD 3PTR by SMITH,LUKE(fastbreak)",SEWANEE 25-44 (+19),,"GOOD 3PTR by SMITH,LUKE(fastbreak)",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
00:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:44,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
00:44,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
00:44,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
00:44,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
00:28,"MISS LAYUP by YANCEY,RICH",,,,,,,"MISS LAYUP by YANCEY,RICH",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
00:26,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",27,,44 (+17),,17BSC-M 27-44 (+17),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
