Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
05:55,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
05:55,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
05:55,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
05:55,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
05:55,,,,,"SUB IN by HENDERSON,RICHARD",,,"SUB IN by HENDERSON,RICHARD",1
05:55,,,,,"SUB IN by BERNACER,FERRAN",,,"SUB IN by BERNACER,FERRAN",1
05:55,,,,,"SUB IN by HARRIS,STEVE",,,"SUB IN by HARRIS,STEVE",1
05:55,,,,,"SUB IN by IVORY,TRE'",,,"SUB IN by IVORY,TRE'",1
05:55,,,,,"SUB OUT by MARTIN,DEYSHAWN",,,"SUB OUT by MARTIN,DEYSHAWN",1
05:55,,,,,"SUB OUT by GUMM,DAYTON",,,"SUB OUT by GUMM,DAYTON",1
05:55,,,,,"SUB OUT by TAYLOR,TERRY",,,"SUB OUT by TAYLOR,TERRY",1
05:55,,,,,"SUB OUT by GLOTTA,ZACH",,,"SUB OUT by GLOTTA,ZACH",1
05:31,,,,,"FOUL  by HARRIS,STEVE",,,"FOUL  by HARRIS,STEVE",1
05:31,,,,,"TURNOVER  by HARRIS,STEVE",,,"TURNOVER  by HARRIS,STEVE",1
05:31,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
05:31,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
05:15,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",1
--,,,,,"REBOUND DEF by UGBA,AVERYL",,,"REBOUND DEF by UGBA,AVERYL",1
05:07,,25,,37 (+12),"GOOD LAYUP by IVORY,TRE'(in the paint)",APSU 25-37 (-12),,"GOOD LAYUP by IVORY,TRE'(in the paint)",1
05:07,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
05:07,,,,,"MISS FT by IVORY,TRE'",,,"MISS FT by IVORY,TRE'",1
--,,,,,"REBOUND OFF by UGBA,AVERYL",,,"REBOUND OFF by UGBA,AVERYL",1
05:07,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
05:07,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
05:02,,25,,39 (+14),"GOOD LAYUP by UGBA,AVERYL(in the paint)",APSU 25-39 (-14),,"GOOD LAYUP by UGBA,AVERYL(in the paint)",1
04:51,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
04:51,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
04:50,,,,,"SUB IN by TAYLOR,TERRY",,,"SUB IN by TAYLOR,TERRY",1
04:50,,,,,"SUB OUT by HENDERSON,RICHARD",,,"SUB OUT by HENDERSON,RICHARD",1
04:34,,,,,"TURNOVER  by TAYLOR,TERRY",,,"TURNOVER  by TAYLOR,TERRY",1
04:22,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by HARRIS,STEVE",,,"REBOUND DEF by HARRIS,STEVE",1
04:08,,25,,41 (+16),"GOOD JUMPER by IVORY,TRE'",APSU 25-41 (-16),,"GOOD JUMPER by IVORY,TRE'",1
03:53,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",1
03:51,,,,,"STEAL  by IVORY,TRE'",,,"STEAL  by IVORY,TRE'",1
03:48,,25,,43 (+18),"GOOD DUNK by HARRIS,STEVE(fastbreak)(in the paint)",APSU 25-43 (-18),,"GOOD DUNK by HARRIS,STEVE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by IVORY,TRE'",,,"ASSIST  by IVORY,TRE'",1
03:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:35,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",1
03:35,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
03:35,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
03:35,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
03:22,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",1
