Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
07:41,"MISS LAYUP by MARDER,NICK",,,,,,,"MISS LAYUP by MARDER,NICK",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
07:24,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
07:24,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
07:24,"SUB IN by GREEN,CADE",,,,,,,"SUB IN by GREEN,CADE",1
07:24,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
07:24,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",1
07:24,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
07:05,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",1
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",1
06:55,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",1
06:55,"STEAL  by SPALDING,TANNER",,,,,,,"STEAL  by SPALDING,TANNER",1
06:30,"MISS LAYUP by DENBESTEN,COLE",,,,,,,"MISS LAYUP by DENBESTEN,COLE",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
06:20,,17,,22 (+5),"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 17-22 (+5),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
06:01,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
06:01,"MISS FT by JOHNSON,CALEB",,,,,,,"MISS FT by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by PERKINS,ALEX",,,"REBOUND DEF by PERKINS,ALEX",1
06:01,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
06:01,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
06:01,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
06:01,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
05:43,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:43,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
05:43,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
05:43,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
05:43,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
05:34,"GOOD 3PTR by DENBESTEN,COLE",20,,22 (+2),,BCM 20-22 (+2),,"GOOD 3PTR by DENBESTEN,COLE",1
--,"ASSIST  by SPALDING,TANNER",,,,,,,"ASSIST  by SPALDING,TANNER",1
