Time Remaining,HUNTINGM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
06:31,"SUB OUT by HUGHES,TAYLOR",,,,,,,"SUB OUT by HUGHES,TAYLOR",1
06:22,,,,,"TURNOVER  by ALLISON,BRANDON",,,"TURNOVER  by ALLISON,BRANDON",1
06:21,"STEAL  by HILL,AUSTIN",,,,,,,"STEAL  by HILL,AUSTIN",1
06:13,"MISS JUMPER by THOMAS,JEREMIAH",,,,,,,"MISS JUMPER by THOMAS,JEREMIAH",1
--,"REBOUND OFF by THOMAS,JEREMIAH",,,,,,,"REBOUND OFF by THOMAS,JEREMIAH",1
06:09,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",32 (+8),,24,,HUNTINGM 32-24 (-8),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
06:08,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
06:08,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",1
05:47,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
05:45,"STEAL  by PETTY,RYAN",,,,,,,"STEAL  by PETTY,RYAN",1
05:43,"GOOD LAYUP by PETTY,RYAN(in the paint)",34 (+10),,24,,HUNTINGM 34-24 (-10),,"GOOD LAYUP by PETTY,RYAN(in the paint)",1
05:26,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
05:26,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
05:26,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
05:07,"TURNOVER  by MOORER,TERRY",,,,,,,"TURNOVER  by MOORER,TERRY",1
05:07,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
05:07,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
05:02,"FOUL  by DUDLEY,BYRON",,,,,,,"FOUL  by DUDLEY,BYRON",1
04:50,"FOUL  by PETTY,RYAN",,,,,,,"FOUL  by PETTY,RYAN",1
04:50,"SUB IN by VARNEY,JASON",,,,,,,"SUB IN by VARNEY,JASON",1
04:50,"SUB OUT by BIAS,JAMAL",,,,,,,"SUB OUT by BIAS,JAMAL",1
04:44,,34 (+8),,26,"GOOD JUMPER by THOMAS,STERLING",MILLSAPS 34-26 (-8),,"GOOD JUMPER by THOMAS,STERLING",1
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",1
