Time Remaining,AUR,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
07:49,,24,,25 (+1),"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 24-25 (+1),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
07:35,"MISS 3PTR by HALL,TYLER",,,,,,,"MISS 3PTR by HALL,TYLER",1
--,"REBOUND OFF by STOKES,KALMON",,,,,,,"REBOUND OFF by STOKES,KALMON",1
07:27,"MISS LAYUP by KLADIS,NICK",,,,,,,"MISS LAYUP by KLADIS,NICK",1
07:27,,,,,"BLOCK  by GALVIN,DANIEL",,,"BLOCK  by GALVIN,DANIEL",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
07:19,,24,,28 (+4),"GOOD 3PTR by GALVIN,DANIEL",RHO 24-28 (+4),,"GOOD 3PTR by GALVIN,DANIEL",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
07:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:03,"MISS 3PTR by KLADIS,NICK",,,,,,,"MISS 3PTR by KLADIS,NICK",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
06:41,"FOUL  by LYNN,JOSH",,,,,,,"FOUL  by LYNN,JOSH",1
06:41,,24,,29 (+5),"GOOD FT by GEE,TYLER",RHO 24-29 (+5),,"GOOD FT by GEE,TYLER",1
06:41,,24,,30 (+6),"GOOD FT by GEE,TYLER",RHO 24-30 (+6),,"GOOD FT by GEE,TYLER",1
06:34,"MISS JUMPER by HALL,TYLER",,,,,,,"MISS JUMPER by HALL,TYLER",1
--,"REBOUND OFF by HALL,TYLER",,,,,,,"REBOUND OFF by HALL,TYLER",1
06:31,"MISS LAYUP by HALL,TYLER",,,,,,,"MISS LAYUP by HALL,TYLER",1
--,"REBOUND OFF by STOKES,KALMON",,,,,,,"REBOUND OFF by STOKES,KALMON",1
06:28,"GOOD LAYUP by STOKES,KALMON(in the paint)",26,,30 (+4),,AUR 26-30 (+4),,"GOOD LAYUP by STOKES,KALMON(in the paint)",1
06:11,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
06:10,"STEAL  by LAGRONE,JEREMY",,,,,,,"STEAL  by LAGRONE,JEREMY",1
05:56,"TURNOVER  by HALL,TYLER",,,,,,,"TURNOVER  by HALL,TYLER",1
05:55,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
05:51,,26,,33 (+7),"GOOD 3PTR by LOWRIE,ANDREW",RHO 26-33 (+7),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
05:22,"MISS LAYUP by LYNN,JOSH",,,,,,,"MISS LAYUP by LYNN,JOSH",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
05:17,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",1
--,"REBOUND DEF by STOKES,KALMON",,,,,,,"REBOUND DEF by STOKES,KALMON",1
