Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
01:13,"GOOD FT by SMITH,PRESTON",23,,53 (+30),,HXM 23-53 (+30),,"GOOD FT by SMITH,PRESTON",1
01:13,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
01:13,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
01:13,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
01:13,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
01:13,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
00:52,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
00:43,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
00:38,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
00:34,,23,,55 (+32),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 23-55 (+32),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
00:27,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:23,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
00:23,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",1
00:04,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
00:01,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
00:01,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",1
19:50,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
19:32,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
