Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
07:09,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
07:08,,,,,"STEAL  by CHILDERS,JOSH",,,"STEAL  by CHILDERS,JOSH",1
07:00,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
06:45,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
06:45,"GOOD FT by CRUMLY,WILL",19,,21 (+2),,CCM 19-21 (+2),,"GOOD FT by CRUMLY,WILL",1
06:45,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
--,"REBOUND OFF by OETJEN,NOAH",,,,,,,"REBOUND OFF by OETJEN,NOAH",1
06:29,"GOOD 3PTR by ALLEN,ZACK",22 (+1),,21,,CCM 22-21 (-1),,"GOOD 3PTR by ALLEN,ZACK",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
06:14,,,,,"MISS 3PTR by MORRISON,JASON",,,"MISS 3PTR by MORRISON,JASON",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
05:50,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
05:50,"SUB IN by MITCHELL,JAMES",,,,,,,"SUB IN by MITCHELL,JAMES",1
05:50,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
05:50,"SUB OUT by ALLEN,ZACK",,,,,,,"SUB OUT by ALLEN,ZACK",1
05:50,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
05:27,"GOOD LAYUP by CRUMLY,WILL(in the paint)",24 (+3),,21,,CCM 24-21 (-3),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
--,"ASSIST  by MITCHELL,JAMES",,,,,,,"ASSIST  by MITCHELL,JAMES",1
05:14,"FOUL  by JAUCH,JARED",,,,,,,"FOUL  by JAUCH,JARED",1
05:14,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND DEF by PALMER,BRADY",,,,,,,"REBOUND DEF by PALMER,BRADY",1
05:14,"GOOD 3PTR by PALMER,BRADY",27 (+6),,21,,CCM 27-21 (-6),,"GOOD 3PTR by PALMER,BRADY",1
--,"ASSIST  by JAUCH,JARED",,,,,,,"ASSIST  by JAUCH,JARED",1
05:14,,27 (+4),,23,"GOOD JUMPER by GONDA,MATT",BSC-M 27-23 (-4),,"GOOD JUMPER by GONDA,MATT",1
--,,,,,"ASSIST  by MORRISON,JASON",,,"ASSIST  by MORRISON,JASON",1
