Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
03:54,,,,,"SUB IN by BURKS,NICK",,,"SUB IN by BURKS,NICK",1
03:54,,,,,"SUB OUT by GROGAN,TAYLAN",,,"SUB OUT by GROGAN,TAYLAN",1
03:54,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",1
03:51,"MISS LAYUP by SPIKES,KALVIN",,,,,,,"MISS LAYUP by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by WASHINGTON,DEVON",,,"REBOUND DEF by WASHINGTON,DEVON",1
03:26,,,,,"MISS 3PTR by BURKS,NICK",,,"MISS 3PTR by BURKS,NICK",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
03:10,"MISS JUMPER by SULLIVAN,MICHAEL",,,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",1
03:10,,,,,"BLOCK  by SCHULTZ,TRAVIS",,,"BLOCK  by SCHULTZ,TRAVIS",1
--,,,,,"REBOUND DEF by LEE,TORRIAN",,,"REBOUND DEF by LEE,TORRIAN",1
02:50,,17,,43 (+26),"GOOD JUMPER by POWELL,LASHARD",LCM 17-43 (-26),,"GOOD JUMPER by POWELL,LASHARD",1
02:35,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
02:35,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
