Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,BUMBB,Game Score,Team Indicator,Play,Period
07:01,,,,,"SUB IN by RICHARDSON,TERIK",,,"SUB IN by RICHARDSON,TERIK",1
07:01,,,,,"SUB IN by ,KYLE PATTERSON SR",,,"SUB IN by ,KYLE PATTERSON SR",1
07:01,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",1
07:01,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
07:01,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
07:01,,,,,"SUB OUT by HEERINGEN,GIAN VAN",,,"SUB OUT by HEERINGEN,GIAN VAN",1
07:01,,,,,"SUB OUT by DURHAM,JONATHAN",,,"SUB OUT by DURHAM,JONATHAN",1
07:00,,,,,"FOUL  by ROBERTS,JOSHUA",,,"FOUL  by ROBERTS,JOSHUA",1
07:00,"GOOD FT by LEONCE,JOSH",25,,33 (+8),,MILMB 25-33 (-8),,"GOOD FT by LEONCE,JOSH",1
07:00,"GOOD FT by LEONCE,JOSH",26,,33 (+7),,MILMB 26-33 (-7),,"GOOD FT by LEONCE,JOSH",1
06:46,,26,,36 (+10),"GOOD 3PTR by LEATHERWOOD,TRAEVIAN",BUMBB 26-36 (-10),,"GOOD 3PTR by LEATHERWOOD,TRAEVIAN",1
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",1
06:22,"GOOD LAYUP by TURNER,JAMES(in the paint)",28,,36 (+8),,MILMB 28-36 (-8),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
06:22,,,,,"FOUL  by COLE,DAVID",,,"FOUL  by COLE,DAVID",1
06:22,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",1
--,,,,,"REBOUND DEF by LORIS,JOHN",,,"REBOUND DEF by LORIS,JOHN",1
06:22,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
06:22,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
06:22,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
06:22,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
