Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
03:03,,,,,"SUB OUT by ROMAGUERA,COLE",,,"SUB OUT by ROMAGUERA,COLE",1
02:55,,20,,38 (+18),"GOOD 3PTR by LAWRENCE,CHRIS",OUM 20-38 (-18),,"GOOD 3PTR by LAWRENCE,CHRIS",1
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",1
02:49,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
02:49,,,,,"SUB OUT by WARDLAW,CHASE",,,"SUB OUT by WARDLAW,CHASE",1
02:24,"GOOD LAYUP by VANCE,LUKE(in the paint)",22,,38 (+16),,HC 22-38 (-16),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
02:16,,,,,"TURNOVER  by BATES,ROMELLO",,,"TURNOVER  by BATES,ROMELLO",1
02:15,"STEAL  by BARRETT,JORDAN",,,,,,,"STEAL  by BARRETT,JORDAN",1
02:12,"MISS LAYUP by GARRETT,TRAVIS",,,,,,,"MISS LAYUP by GARRETT,TRAVIS",1
02:12,,,,,"BLOCK  by SIGRIST,CONNOR",,,"BLOCK  by SIGRIST,CONNOR",1
--,"REBOUND OFF by ALDOUS,HANK",,,,,,,"REBOUND OFF by ALDOUS,HANK",1
02:09,"GOOD LAYUP by ALDOUS,HANK(in the paint)",24,,38 (+14),,HC 24-38 (-14),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
01:40,,,,,"TURNOVER  by BATES,ROMELLO",,,"TURNOVER  by BATES,ROMELLO",1
01:39,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",1
01:37,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",26,,38 (+12),,HC 26-38 (-12),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
01:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:34,,,,,"SUB IN by WARDLAW,CHASE",,,"SUB IN by WARDLAW,CHASE",1
01:34,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
01:21,,26,,40 (+14),"GOOD LAYUP by SMITH,CONNOR(in the paint)",OUM 26-40 (-14),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",1
01:06,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
01:06,,,,,"BLOCK  by LAWRENCE,CHRIS",,,"BLOCK  by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by WARDLAW,CHASE",,,"REBOUND DEF by WARDLAW,CHASE",1
01:00,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,,,,,"REBOUND OFF by WARDLAW,CHASE",,,"REBOUND OFF by WARDLAW,CHASE",1
00:56,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
00:56,,26,,41 (+15),"GOOD FT by WARDLAW,CHASE",OUM 26-41 (-15),,"GOOD FT by WARDLAW,CHASE",1
00:56,,26,,42 (+16),"GOOD FT by WARDLAW,CHASE",OUM 26-42 (-16),,"GOOD FT by WARDLAW,CHASE",1
00:56,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
00:56,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
00:42,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
00:41,,,,,"STEAL  by BATES,ROMELLO",,,"STEAL  by BATES,ROMELLO",1
00:38,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
00:38,,26,,43 (+17),"GOOD FT by WARDLAW,CHASE",OUM 26-43 (-17),,"GOOD FT by WARDLAW,CHASE",1
00:38,,26,,44 (+18),"GOOD FT by WARDLAW,CHASE",OUM 26-44 (-18),,"GOOD FT by WARDLAW,CHASE",1
00:38,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
00:38,,,,,"SUB OUT by BATES,ROMELLO",,,"SUB OUT by BATES,ROMELLO",1
00:07,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,"REBOUND DEF by LAWRENCE,CHRIS",,,"REBOUND DEF by LAWRENCE,CHRIS",1
20:00,"SUB IN by GUMM,GABE",,,,,,,"SUB IN by GUMM,GABE",2
20:00,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
20:00,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
20:00,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
19:44,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",2
--,"REBOUND DEF by GUMM,GABE",,,,,,,"REBOUND DEF by GUMM,GABE",2
19:15,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",2
18:56,,,,,"TURNOVER  by SMITH,CONNOR",,,"TURNOVER  by SMITH,CONNOR",2
18:38,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND OFF by OGLE,JOHN",,,,,,,"REBOUND OFF by OGLE,JOHN",2
18:23,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",2
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",2
18:16,"GOOD LAYUP by VANCE,LUKE(in the paint)",28,,44 (+16),,HC 28-44 (-16),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
18:04,,,,,"TURNOVER  by SMITH,CONNOR",,,"TURNOVER  by SMITH,CONNOR",2
18:04,"STEAL  by GUMM,GABE",,,,,,,"STEAL  by GUMM,GABE",2
18:00,"MISS LAYUP by GUMM,GABE",,,,,,,"MISS LAYUP by GUMM,GABE",2
18:00,,,,,"BLOCK  by DAVIS,ALEX",,,"BLOCK  by DAVIS,ALEX",2
--,"REBOUND OFF by OGLE,JOHN",,,,,,,"REBOUND OFF by OGLE,JOHN",2
17:56,"GOOD LAYUP by OGLE,JOHN(fastbreak)(in the paint)",30,,44 (+14),,HC 30-44 (-14),,"GOOD LAYUP by OGLE,JOHN(fastbreak)(in the paint)",2
17:34,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",2
--,,,,,"REBOUND OFF by BATES,ROMELLO",,,"REBOUND OFF by BATES,ROMELLO",2
